Person,Total Gross,# Movies,Average,#1 Picture,Gross
Marc Abraham,$6.10 ,2,$3.00 ,Flash of Genius,$4.40 
Jim Abrahams,$348.00 ,8,$43.50 ,Airplane!,$83.50 
J.J. Abrams,"$1,684.20 ",5,$336.80 ,Star Wars: The Force Awakens,$936.70 
Andrew Adamson,"$1,154.70 ",6,$192.50 ,Shrek 2,$441.20 
Gilbert Adler,$5.80 ,1,$5.80 ,Bordello of Blood,$5.80 
Ben Affleck,$258.90 ,4,$64.70 ,Argo,$136.00 
Casey Affleck,$409k,1,$409k,I'm Still Here,$409k
Salim Akil,$61.70 ,2,$30.80 ,Jumping the Broom,$37.30 
Tomas Alfredson,$33.00 ,3,$11.00 ,"Tinker, Tailor, Soldier, Spy",$24.10 
Tim Allen,$88.3k,1,$88.3k,Crazy on the Outside,$88.3k
Woody Allen,$591.40 ,44,$13.40 ,Midnight in Paris,$56.80 
Elizabeth Allen (II),$44.80 ,2,$22.40 ,Ramona and Beezus,$26.20 
Pedro Almodovar,$64.70 ,15,$4.30 ,Volver,$12.90 
Robert Altman,$277.70 ,20,$13.90 ,M.A.S.H.,$81.60 
Fede Alvarez,$143.50 ,2,$71.70 ,Don't Breathe,$89.20 
Christian Alvart,$23.60 ,2,$11.80 ,Case 39,$13.30 
Alejandro Amenabar,$99.70 ,5,$19.90 ,The Others,$96.50 
Hossein Amini,$507k,1,$507k,The Two Faces of January,$507k
Sean Anders,$354.20 ,6,$59.00 ,Daddy's Home,$150.40 
Brad Anderson,$59.60 ,7,$8.50 ,The Call,$51.90 
Paul Thomas Anderson,$152.70 ,8,$19.10 ,There Will Be Blood,$40.20 
Paul W.S. Anderson,$441.30 ,12,$36.80 ,Alien Vs. Predator,$80.30 
Wes Anderson,$260.20 ,9,$28.90 ,The Grand Budapest Hotel,$59.30 
Mark Andrews,$237.30 ,1,$237.30 ,Brave,$237.30 
Graham Annable,$50.80 ,1,$50.80 ,The Boxtrolls,$50.80 
Jean-Jacques Annaud,$188.60 ,9,$21.00 ,Enemy at the Gates,$51.40 
