Person,Total Gross,# Movies,Average,#1 Picture,Gross
Nimród Antal,$91.00 ,5,$18.20 ,Predators,$52.00 
Steven Antin,$39.40 ,1,$39.40 ,Burlesque,$39.40 
Judd Apatow,$488.60 ,6,$81.40 ,Knocked Up,$148.80 
Michael Apted,$574.90 ,18,$31.90 ,World Is Not Enough,$126.90 
Gregg Araki,$2.00 ,7,$292k,Mysterious Skin,$713k
Gillian Armstrong,$57.90 ,6,$9.70 ,Little Women (1994),$50.10 
Vic Armstrong,$14.00 ,1,$14.00 ,Left Behind,$14.00 
Darren Aronofsky,$269.20 ,7,$38.50 ,Black Swan,$107.00 
Guillermo Arriaga,$233k,2,$116k,The Burning Plain,$201k
Miguel Arteta,$111.30 ,7,$15.90 ,Alexander,$67.00 
Kelly Asbury,$659.50 ,4,$164.90 ,Shrek 2,$441.20 
Jacques Audiard,$5.40 ,4,$1.40 ,A Prophet (Un prophète),$2.10 
John August,$63.2k,1,$63.2k,The Nines,$63.2k
David Ayer,$492.20 ,6,$82.00 ,Suicide Squad,$325.10 
Kevin Bacon,$97.4k,2,$48.7k,Losing Chase,$64.2k
Wes Ball,$242.20 ,3,$80.70 ,The Maze Runner,$102.40 
Elizabeth Banks,$184.30 ,1,$184.30 ,Pitch Perfect 2,$184.30 
Ernie Barbarash,$11.8k,1,$11.8k,Falcon Rising,$11.8k
Daniel Barnz,$35.10 ,3,$11.70 ,Beastly,$27.90 
Drew Barrymore,$13.00 ,1,$13.00 ,Whip It,$13.00 
Andrzej Bartkowiak,$179.40 ,5,$35.90 ,Romeo Must Die,$56.00 
Michael J. Bassett,$17.50 ,1,$17.50 ,Silent Hill 2,$17.50 
Jason Bateman,$8.00 ,2,$4.00 ,Bad Words,$7.80 
Zal Batmanglij,$2.70 ,2,$1.40 ,The East,$2.30 
Noah Baumbach,$28.90 ,9,$3.20 ,While We're Young,$7.60 
Michael Bay,"$2,326.50 ",13,$179.00 ,Transformers 2,$402.10 
J.A. Bayona,$29.90 ,3,$10.00 ,The Impossible,$19.00 
Stuart Beattie,$19.10 ,2,$9.50 ,"I, Frankenstein",$19.10 
Warren Beatty,$255.90 ,5,$51.20 ,Dick Tracy,$103.70 
Timur Bekmambetov,$200.40 ,5,$40.10 ,Wanted,$134.50 
Lake Bell,$3.20 ,2,$1.60 ,In a World,$3.00 
William Brent Bell,$112.20 ,3,$37.40 ,The Devil Inside,$53.30 
Jessica Bendinger,$26.90 ,1,$26.90 ,Stick It,$26.90 
Roberto Benigni,$62.50 ,5,$12.50 ,Life Is Beautiful,$57.60 
Ned Benson,$588k,1,$588k,The Disappearance of Eleanor Rigby,$588k
Robert Benton,$231.80 ,9,$25.80 ,Kramer Vs. Kramer,$106.30 
Peter Berg,$678.20 ,9,$75.40 ,Hancock,$227.90 
Greg Berlanti,$95.70 ,3,$31.90 ,Life as We Know It,$53.40 
Luc Besson,$327.00 ,12,$27.30 ,Lucy,$126.70 
Thomas Bezucha,$83.80 ,3,$27.90 ,The Family Stone,$60.10 
Kathryn Bigelow,$227.60 ,9,$25.30 ,Zero Dark Thirty,$95.70 
Mike Binder,$83.30 ,6,$13.90 ,Black or White,$21.60 
Brad Bird,$793.90 ,5,$158.80 ,The Incredibles,$261.40 
Dustin Lance Black,$12.7k,1,$12.7k,Virginia,$12.7k
Shane Black,$449.50 ,3,$149.80 ,Iron Man 3,$409.00 
Neill Blomkamp,$240.30 ,3,$80.10 ,District 9,$115.60 
Don Bluth,$230.90 ,9,$25.70 ,Anastasia,$58.40 
Anna Boden,$7.60 ,3,$2.50 ,It's Kind of a Funny Story,$6.40 
Uwe Boll,$22.60 ,4,$5.70 ,House of the Dead,$10.20 
Josh Boone,$125.00 ,2,$62.50 ,The Fault in our Stars,$124.90 
Ole Bornedal,$50.60 ,4,$12.60 ,The Possession,$49.10 
Darren Lynn Bousman,$230.80 ,5,$46.20 ,Saw II,$87.00 
David Bowers,$206.70 ,5,$41.30 ,Flushed Away,$64.70 
Rob Bowman,$154.20 ,4,$38.60 ,X-Files,$83.90 
Danny Boyle,$300.20 ,12,$25.00 ,Slumdog Millionaire,$141.30 
Dan Bradley,$44.80 ,1,$44.80 ,Red Dawn (2012),$44.80 
Tom Brady,$51.00 ,3,$17.00 ,The Hot Chick,$35.10 
Zach Braff,$75.40 ,3,$25.10 ,Going in Style (2017),$45.00 
Kenneth Branagh,$638.20 ,13,$49.10 ,Cinderella,$201.20 
Martin Brest,$413.80 ,6,$69.00 ,Beverly Hills Cop,$234.80 
Craig Brewer,$83.40 ,3,$27.80 ,Footloose,$51.80 
Steven Brill,$274.50 ,6,$45.80 ,Mr. Deeds,$126.30 
Jeremy Brock,$240k,1,$240k,Driving Lessons,$240k
Adam Brooks,$32.40 ,3,$10.80 ,"Definitely, Maybe",$32.20 
Albert Brooks,$61.40 ,7,$8.80 ,Mother (1996),$19.10 
James L. Brooks,$391.50 ,6,$65.30 ,As Good as It Gets,$148.50 
Mel Brooks,$393.60 ,10,$39.40 ,Blazing Saddles,$119.60 
Mark Brown,$22.40 ,2,$11.20 ,Two Can Play That Game,$22.20 
Pieter Jan Brugge,$5.80 ,1,$5.80 ,The Clearing,$5.80 
Cal Brunker,$85.40 ,2,$42.70 ,Escape From Planet Earth,$57.00 
Chris Buck,$630.70 ,3,$210.20 ,Frozen,$400.70 
Neil Burger,$270.40 ,5,$54.10 ,Divergent,$150.90 
Edward Burns,$188k,4,$47.1k,The Groomsmen,$129k
Nanette Burstein,$20.20 ,4,$5.10 ,Going the Distance,$17.80 
Tim Burton,"$1,840.20 ",18,$102.20 ,Alice in Wonderland,$334.20 
Jez Butterworth,$5.10 ,1,$5.10 ,Birthday Girl,$5.10 
Nicolas Cage,$30.0k,1,$30.0k,Sonny,$30.0k
Mike Cahill,$1.30 ,1,$1.30 ,Another Earth,$1.30 
James Cameron,"$1,976.00 ",9,$219.60 ,Avatar,$760.50 
Martin Campbell,$714.10 ,12,$59.50 ,Casino Royale,$167.40 
Jane Campion,$56.80 ,7,$8.10 ,The Piano,$40.20 
Joe Carnahan,$175.10 ,4,$43.80 ,The A-Team,$77.20 
Niki Caro,$101.20 ,4,$25.30 ,"McFarland, USA",$44.50 
John Carpenter,$288.50 ,15,$19.20 ,Halloween,$47.00 
Steve Carr,$507.40 ,7,$72.50 ,Paul Blart: Mall Cop,$146.30 
Thomas Carter,$226.10 ,5,$45.20 ,Save the Last Dance,$91.10 
D.J. Caruso,$340.50 ,8,$42.60 ,Eagle Eye,$101.40 
Nick Cassavetes,$308.70 ,7,$44.10 ,The Other Woman,$83.90 
Michael Caton-Jones,$210.20 ,9,$23.40 ,The Jackal,$54.90 
Joseph Cedar,$2.10 ,3,$715k,Footnote,$2.00 
Justin Chadwick,$37.90 ,4,$9.50 ,The Other Boleyn Girl,$26.80 
Jackie Chan,$136k,1,$136k,1911,$136k
J.C. Chandor,$17.40 ,3,$5.80 ,All Is Lost,$6.30 
Jay Chandrasekhar,$148.50 ,6,$24.70 ,The Dukes of Hazzard,$80.30 
Brenda Chapman,$338.70 ,2,$169.30 ,Brave,$237.30 
Larry Charles,$261.80 ,5,$52.40 ,Borat,$128.50 
David Chase,$611k,1,$611k,Not Fade Away,$611k
Damien Chazelle,$164.20 ,3,$54.70 ,La La Land,$151.10 
Stephen Chbosky,$150.20 ,2,$75.10 ,Wonder,$132.40 
Don Cheadle,$2.60 ,1,$2.60 ,Miles Ahead,$2.60 
Peter Chelsom,$211.00 ,9,$23.40 ,Hannah Montana The Movie,$79.60 
Lisa Cholodenko,$26.40 ,3,$8.80 ,The Kids Are All Right,$20.80 
Sylvain Chomet,$9.20 ,2,$4.60 ,The Triplets of Belleville,$7.00 
Christian E. Christiansen,$37.30 ,1,$37.30 ,The Roommate,$37.30 
Jon Chu,$369.40 ,7,$52.80 ,G.I. Joe: Retaliation,$122.50 
Derek Cianfrance,$43.70 ,3,$14.60 ,The Place Beyond the Pines,$21.40 
Michael Cimino,$101.00 ,7,$14.40 ,The Deer Hunter,$49.00 
George Clooney,$203.70 ,6,$34.00 ,The Monuments Men,$78.00 
Ethan Coen,$402.50 ,8,$50.30 ,True Grit,$171.20 
Joel Coen,$573.70 ,18,$31.90 ,True Grit,$171.20 
Pierre Coffin,"$1,220.20 ",4,$305.10 ,Despicable Me 2,$368.10 
Andrew J. Cohen,$25.60 ,1,$25.60 ,The House,$25.60 
Etan Cohen,$90.40 ,1,$90.40 ,Get Hard,$90.40 
Rob Cohen,$644.50 ,13,$49.60 ,Fast and the Furious,$144.50 
Jaume Collet-Serra,$347.70 ,8,$43.50 ,Non-Stop,$92.20 
Chris Columbus,"$1,750.30 ",15,$116.70 ,Harry Potter / Sorcerer's Stone,$317.60 
Bill Condon,"$1,232.60 ",9,$137.00 ,Beauty and the Beast,$504.00 
Steve Conrad,$409k,1,$409k,The Promotion,$409k
Ryan Coogler,$819.10 ,3,$273.00 ,Black Panther,$693.20 
Barry Cook,$156.70 ,2,$78.30 ,Mulan,$120.60 
Greg Coolidge,$28.40 ,1,$28.40 ,Employee of the Month,$28.40 
Martha Coolidge,$135.70 ,11,$12.30 ,Out to Sea,$29.00 
Scott Cooper,$143.20 ,4,$35.80 ,Black Mass,$62.60 
Roman Coppola,$460k,2,$230k,CQ,$414k
Sofia Coppola,$83.80 ,6,$14.00 ,Lost in Translation,$44.60 
Frank Coraci,$575.00 ,7,$82.10 ,Waterboy,$161.50 
Anton Corbijn,$53.70 ,3,$17.90 ,The American,$35.60 
Joe Cornish,$1.00 ,1,$1.00 ,Attack the Block,$1.00 
Rodrigo Cortes,$1.10 ,2,$548k,Buried,$1.00 
Kevin Costner,$348.40 ,4,$87.10 ,Dances with Wolves,$184.20 
Allen Coulter,$33.50 ,2,$16.70 ,Remember Me,$19.10 
Courteney Cox,$11.0k,1,$11.0k,Just Before I Go,$11.0k
Wes Craven,$579.50 ,16,$36.20 ,Scream,$103.00 
Eran Creevy,$2.30 ,2,$1.10 ,Collide,$2.30 
Cameron Crowe,$450.40 ,9,$50.00 ,Jerry Maguire,$154.00 
Russell Crowe,$4.20 ,1,$4.20 ,The Water Diviner,$4.20 
John Crowley,$47.10 ,5,$9.40 ,Brooklyn,$38.30 
Alfonso Cuaron,$609.50 ,7,$87.10 ,Gravity,$274.10 
Jonas Cuaron,$2.00 ,1,$2.00 ,Desierto,$2.00 
Ice Cube,$23.00 ,1,$23.00 ,Players Club,$23.00 
Michael Cuesta,$39.90 ,5,$8.00 ,American Assassin,$36.20 
John Curran,$29.00 ,6,$4.80 ,Chappaquiddick,$16.50 
R.J. Cutler,$54.30 ,2,$27.10 ,If I Stay,$50.50 
Dinesh D'Souza,$61.00 ,3,$20.30 ,2016 Obama's America,$33.40 
John Dahl,$68.90 ,8,$8.60 ,Rounders,$22.90 
Stephen Daldry,$129.70 ,5,$25.90 ,The Hours,$41.70 
Lee Daniels,$165.30 ,4,$41.30 ,The Butler,$116.60 
Frank Darabont,$218.50 ,4,$54.60 ,Green Mile,$136.80 
Eric Darnell,$764.10 ,5,$152.80 ,Madagascar 3,$216.40 
Andrew Davis,$571.80 ,11,$52.00 ,The Fugitive,$183.90 
Jonathan Dayton,$75.10 ,3,$25.00 ,Little Miss Sunshine,$59.90 
Kirk De Micco,$217.30 ,2,$108.60 ,The Croods,$187.20 
Brian De Palma,$636.10 ,18,$35.30 ,Mission: Impossible,$181.00 
Dean DeBlois,$540.40 ,3,$180.10 ,How to Train Your Dragon,$217.60 
Jan DeBont,$568.60 ,5,$113.70 ,Twister,$241.70 
Adam Del Deo,$1.80 ,3,$590k,Every Little Step,$1.70 
Guillermo del Toro,$479.20 ,10,$47.90 ,Pacific Rim,$101.80 
Camille Delamarre,$36.40 ,2,$18.20 ,Brick Mansions,$20.40 
Julie Delpy,$5.10 ,3,$1.70 ,2 Days in Paris,$4.40 
Jonathan Demme,$391.90 ,20,$19.60 ,Silence of the Lambs,$130.70 
James DeMonaco,$136.40 ,2,$68.20 ,The Purge: Anarchy,$72.00 
Claire Denis,$2.40 ,3,$814k,Chocolat (1989),$2.30 
Scott Derrickson,$465.70 ,5,$93.10 ,Doctor Strange,$232.60 
Danny DeVito,$220.60 ,6,$36.80 ,The War of the Roses,$86.90 
Dean Devlin,$35.40 ,2,$17.70 ,Geostorm,$33.70 
Tom Dey,$217.40 ,4,$54.30 ,Failure to Launch,$88.70 
Heitor Dhalia,$11.70 ,1,$11.70 ,Gone,$11.70 
Prabhu Dheva,$919k,1,$919k,Singh is Bling,$919k
Denise Di Novi,$11.40 ,1,$11.40 ,Unforgettable,$11.40 
Tom DiCillo,$2.20 ,5,$431k,Living in Oblivion,$1.10 
Kirby Dick,$831k,5,$166k,This Film Is Not Yet Rated,$307k
Ernest R. Dickerson,$83.50 ,6,$13.90 ,Bulletproof,$21.60 
David Dobkin,$427.70 ,6,$71.30 ,Wedding Crashers,$209.30 
Pete Docter,$939.40 ,3,$313.10 ,Inside Out,$356.50 
Xavier Dolan,$3.60 ,2,$1.80 ,Mommy,$3.50 
Andrew Dominik,$19.20 ,3,$6.40 ,Killing Them Softly,$15.00 
Roger Donaldson,$452.80 ,15,$30.20 ,Cocktail,$78.20 
Richard Donner,"$1,139.10 ",16,$71.20 ,Lethal Weapon 2,$147.30 
Michael Dougherty,$42.70 ,1,$42.70 ,Krampus,$42.70 
Drew Dowdle,$33.60 ,1,$33.60 ,Devil,$33.60 
John Erick Dowdle,$113.90 ,4,$28.50 ,Devil,$33.60 
Michael Dowse,$10.50 ,3,$3.50 ,Take Me Home Tonight,$6.90 
Frederik Du Chau,$116.00 ,3,$38.70 ,Racing Stripes,$49.80 
Frederik Du Chou,$72.30 ,2,$36.10 ,Racing Stripes,$49.80 
David Duchovny,$389k,1,$389k,House of D,$389k
Dennis Dugan,"$1,096.70 ",14,$78.30 ,Big Daddy,$163.50 
Bill Duke,$124.60 ,7,$17.80 ,Sister Act 2: Back in the Habit,$57.30 
Marcus Dunstan,$14.60 ,2,$7.30 ,The Collector,$7.70 
Jay Duplass,$12.10 ,5,$2.40 ,Cyrus,$7.50 
Mark Duplass,$11.90 ,4,$3.00 ,Cyrus,$7.50 
Robert Duvall,$20.90 ,2,$10.40 ,The Apostle,$19.90 
Ava DuVernay,$147.90 ,4,$37.00 ,A Wrinkle in Time,$95.50 
Clint Eastwood,"$1,852.30 ",35,$52.90 ,American Sniper,$350.10 
Gareth Edwards,$733.10 ,3,$244.40 ,Rogue One,$532.20 
Atom Egoyan,$6.80 ,5,$1.40 ,Chloe,$3.10 
Stephan Elliot,$30.40 ,4,$7.60 ,Eye of the Beholder,$16.50 
David R. Ellis,$231.10 ,6,$38.50 ,The Final Destination,$66.50 
Roland Emmerich,"$1,292.20 ",12,$107.70 ,Independence Day,$306.20 
Nora Ephron,$515.00 ,8,$64.40 ,Sleepless in Seattle,$126.70 
Andrew Erwin,$112.10 ,4,$28.00 ,I Can Only Imagine,$81.90 
Jon Erwin,$112.10 ,4,$28.00 ,I Can Only Imagine,$81.90 
Daniel Espinosa,$158.00 ,4,$39.50 ,Safe House,$126.40 
Jacob Aaron Estes,$668k,2,$334k,Mean Creek,$604k
Bruce A. Evans,$49.70 ,2,$24.80 ,Mr. Brooks,$28.50 
Chris Evans,$37.2k,1,$37.2k,Before We Go,$37.2k
Gareth Evans,$6.70 ,2,$3.40 ,The Raid: Redemption,$4.10 
Philippe Falardeau,$4.70 ,2,$2.40 ,The Good Lie,$2.70 
Rick Famuyiwa,$72.70 ,3,$24.20 ,Brown Sugar,$27.40 
Valerie Faris,$75.10 ,3,$25.00 ,Little Miss Sunshine,$59.90 
Vera Farmiga,$842k,1,$842k,Higher Ground,$842k
The Farrelly Bros.,$792.00 ,12,$66.00 ,Something About Mary,$176.50 
Jon Favreau,"$1,334.50 ",8,$166.80 ,The Jungle Book,$364.00 
Paul Feig,$584.50 ,5,$116.90 ,Bridesmaids,$169.10 
Sam Fell,$171.50 ,3,$57.20 ,Flushed Away,$64.70 
Charles Ferguson,$5.80 ,3,$1.90 ,Inside Job,$4.30 
Shana Feste,$43.80 ,3,$14.60 ,Endless Love,$23.40 
Glenn Ficarra,$163.30 ,4,$40.80 ,"Crazy, Stupid, Love.",$84.40 
Andy Fickman,$365.60 ,6,$60.90 ,The Game Plan,$90.60 
Todd Field,$41.40 ,2,$20.70 ,In the Bedroom,$35.90 
Ralph Fiennes,$2.00 ,2,$996k,The Invisible Woman,$1.20 
David Fincher,$865.20 ,10,$86.50 ,Gone Girl,$167.80 
Will Finn,$109.40 ,3,$36.50 ,Road to El Dorado,$50.90 
Mike Flanagan,$62.80 ,2,$31.40 ,Ouija 2,$35.10 
Ryan Fleck,$10.30 ,4,$2.60 ,It's Kind of a Funny Story,$6.40 
Ruben Fleischer,$158.60 ,3,$52.90 ,Zombieland,$75.60 
Andrew Fleming,$106.60 ,7,$15.20 ,Nancy Drew,$25.60 
Anne Fletcher,$377.80 ,5,$75.60 ,The Proposal,$164.00 
Geoffrey Fletcher,$17.2k,1,$17.2k,Violet & Daisy,$17.2k
Dan Fogelman,$5.60 ,1,$5.60 ,Danny Collins,$5.60 
James Foley,$333.10 ,13,$25.60 ,Fifty Shades Darker,$114.60 
Tom Ford,$19.80 ,2,$9.90 ,Nocturnal Animals,$10.70 
Marc Forster,$514.50 ,9,$57.20 ,World War Z,$202.40 
Jodie Foster,$84.50 ,4,$21.10 ,Money Monster,$41.00 
James Franco,$21.20 ,5,$4.20 ,The Disaster Artist,$21.10 
Scott Frank,$30.90 ,2,$15.50 ,A Walk Among the Tombstones,$26.30 
David Frankel,$375.00 ,7,$53.60 ,Marley and Me,$143.20 
Carl Franklin,$145.80 ,6,$24.30 ,High Crimes,$41.50 
Stephen Frears,$278.30 ,23,$12.10 ,The Queen,$56.40 
Juan Carlos Fresnadillo,$29.00 ,3,$9.70 ,28 Weeks Later,$28.60 
Thor Freudenthal,$205.60 ,3,$68.50 ,Hotel for Dogs,$73.00 
Jason Friedberg,$128.80 ,4,$32.20 ,Epic Movie,$39.70 
William Friedkin,$495.40 ,16,$31.00 ,The Exorcist,$232.90 
Cary Fukunaga,$13.90 ,3,$4.60 ,Jane Eyre,$11.20 
Antoine Fuqua,$627.50 ,12,$52.30 ,The Equalizer,$101.50 
Brad Furman,$92.80 ,3,$30.90 ,The Lincoln Lawyer,$58.00 
Stephen Gaghan,$68.80 ,3,$22.90 ,Syriana,$50.80 
George Gallo,$41.00 ,6,$6.80 ,Double Take,$29.80 
Vincent Gallo,$2.70 ,2,$1.40 ,Buffalo '66,$2.40 
Christophe Gans,$58.20 ,2,$29.10 ,Silent Hill,$47.00 
Jeremy Garelick,$64.50 ,1,$64.50 ,The Wedding Ringer,$64.50 
Alex Garland,$58.20 ,2,$29.10 ,Annihilation,$32.70 
Ed Gass-Donnelly,$15.20 ,2,$7.60 ,The Last Exorcism Part II,$15.20 
David Gelb,$28.40 ,2,$14.20 ,The Lazarus Effect,$25.80 
Ricky Gervais,$18.50 ,1,$18.50 ,The Invention of Lying,$18.50 
Sacha Gervasi,$6.70 ,2,$3.30 ,Hitchcock,$6.00 
Greta Gerwig,$49.00 ,2,$24.50 ,Lady Bird,$49.00 
Mel Gibson,$589.20 ,5,$117.80 ,Passion of the Christ,$370.80 
Craig Gillespie,$144.10 ,6,$24.00 ,Million Dollar Arm,$36.50 
Terry Gilliam,$216.00 ,10,$21.60 ,12 Monkeys,$57.10 
Dan Gilroy,$44.30 ,2,$22.20 ,Nightcrawler,$32.40 
Tony Gilroy,$202.80 ,3,$67.60 ,The Bourne Legacy,$113.20 
Richard Glatzer,$21.30 ,4,$5.30 ,Still Alice,$18.80 
Will Gluck,$332.10 ,5,$66.40 ,Peter Rabbit,$114.80 
Drew Goddard,$42.10 ,1,$42.10 ,The Cabin in the Woods,$42.10 
Evan Goldberg,$107.60 ,2,$53.80 ,This is the End,$101.50 
Michael Goldenberg,$19.00 ,1,$19.00 ,Bed of Roses,$19.00 
Akiva Goldsman,$12.60 ,1,$12.60 ,Winter's Tale,$12.60 
Jonathan M. Goldstein,$127.50 ,2,$63.70 ,Game Night,$68.60 
Bobcat Goldthwait,$475k,4,$119k,World's Greatest Dad,$222k
Michel Gondry,$162.40 ,12,$13.50 ,The Green Hornet,$98.80 
Alejandro González Iñárritu,$287.10 ,6,$47.80 ,The Revenant,$183.60 
Chris Gorak,$21.50 ,2,$10.80 ,The Darkest Hour,$21.40 
Josh Gordon,$201.10 ,3,$67.00 ,Blades of Glory,$118.60 
Keith Gordon,$2.80 ,5,$568k,A Midnight Clear,$1.50 
Seth Gordon,$430.90 ,5,$86.20 ,Identity Thief,$134.50 
Joseph Gordon-Levitt,$24.50 ,1,$24.50 ,Don Jon,$24.50 
Tom Gormican,$26.10 ,1,$26.10 ,That Awkward Moment,$26.10 
Ryan Gosling,$45.4k,1,$45.4k,Lost River,$45.4k
Raja Gosnell,$803.00 ,9,$89.20 ,Scooby-Doo,$153.30 
David S. Goyer,$115.70 ,3,$38.60 ,Blade: Trinity,$52.40 
Todd Graff,$37.80 ,3,$12.60 ,Joyful Noise,$30.90 
Debra Granik,$6.60 ,2,$3.30 ,Winter's Bone,$6.50 
Susannah Grant,$15.50 ,1,$15.50 ,Catch and Release,$15.50 
F. Gary Gray,$758.00 ,9,$84.20 ,Fate of the Furious,$226.00 
James Gray,$44.30 ,6,$7.40 ,We Own the Night,$28.60 
John Gray,$24.10 ,3,$8.00 ,Glimmer Man,$20.40 
Dave Green,$121.00 ,2,$60.50 ,Teenage Mutant Ninja Turtles 2,$82.10 
David Gordon Green,$152.70 ,12,$12.70 ,Pineapple Express,$87.30 
Luke Greenfield,$193.80 ,4,$48.40 ,Let's Be Cops,$82.40 
Paul Greengrass,$740.60 ,8,$92.60 ,The Bourne Ultimatum,$227.50 
Clark Gregg,$2.90 ,1,$2.90 ,Choke,$2.90 
Alister Grierson,$23.20 ,1,$23.20 ,Sanctum,$23.20 
Christopher Guest,$45.70 ,5,$9.10 ,Best in Show,$18.70 
Davis Guggenheim,$42.90 ,6,$7.20 ,An Inconvenient Truth,$24.10 
James Gunn,$731.10 ,4,$182.80 ,Guardians of the Galaxy 2,$389.80 
Jorge R. Gutierrez,$50.20 ,1,$50.20 ,The Book of Life,$50.20 
Taylor Hackford,$426.80 ,14,$30.50 ,An Officer and a Gentleman,$129.80 
Mikael Hafstrom,$166.30 ,6,$27.70 ,1408,$72.00 
Paul Haggis,$83.50 ,4,$20.90 ,Crash,$54.60 
Don Hahn,$80.7k,1,$80.7k,Waking Sleeping Beauty,$80.7k
Don Hall,$249.20 ,2,$124.60 ,Big Hero 6,$222.50 
Jason Dean Hall,$9.50 ,1,$9.50 ,Thank You for Your Service (2017),$9.50 
Klay Hall,$90.30 ,1,$90.30 ,Planes,$90.30 
Lasse Hallstrom,$530.80 ,15,$35.40 ,Dear John,$80.00 
Christopher Hampton,$3.40 ,3,$1.10 ,Carrington,$3.20 
John Lee Hancock,$450.10 ,5,$90.00 ,The Blind Side,$256.00 
Michael Haneke,$15.40 ,8,$1.90 ,Amour,$6.70 
Tom Hanks,$61.50 ,2,$30.70 ,Larry Crowne,$35.60 
Curtis Hanson,$406.80 ,11,$37.00 ,8 Mile,$116.80 
Catherine Hardwicke,$285.10 ,7,$40.70 ,Twilight,$192.80 
Rob Hardy,$17.80 ,3,$5.90 ,The Gospel,$15.80 
David Hare,$2.30 ,3,$760k,Wetherby,$1.30 
Renny Harlin,$526.70 ,16,$32.90 ,Die Hard 2,$117.50 
Dan Harris,$229k,1,$229k,Imaginary Heroes,$229k
Ed Harris,$28.80 ,2,$14.40 ,Appaloosa,$20.20 
Ethan Hawke,$775k,2,$387k,Seymour: An Introduction,$744k
Jimmy Hayward,$220.80 ,3,$73.60 ,Horton Hears a Who!,$154.50 
Michel Hazanavicius,$45.10 ,3,$15.00 ,The Artist,$44.70 
Leslye Headland,$1.30 ,2,$634k,Sleeping with Other People,$819k
Amy Heckerling,$384.00 ,9,$42.70 ,Look Who's Talking,$140.10 
Peter Hedges,$102.00 ,3,$34.00 ,The Odd Life of Timothy Green,$51.90 
Brian Helgeland,$242.60 ,5,$48.50 ,42,$95.00 
John Herzfeld,$59.20 ,3,$19.70 ,15 Minutes,$24.40 
Werner Herzog,$17.90 ,10,$1.80 ,Rescue Dawn,$5.50 
Peter Hewitt,$171.90 ,6,$28.70 ,Garfield,$75.40 
George Hickenlooper,$5.70 ,5,$1.10 ,Factory Girl,$1.70 
Scott Hicks,$178.90 ,7,$25.60 ,The Lucky One,$60.50 
Tim Hill,$387.80 ,5,$77.60 ,Alvin and the Chipmunks,$217.30 
Walter Hill,$395.00 ,17,$23.20 ,Another 48 HRS.,$80.80 
John Hillcoat,$60.10 ,4,$15.00 ,Lawless,$37.40 
Gregory Hoblit,$213.10 ,6,$35.50 ,Primal Fear,$56.10 
Dustin Hoffman,$18.40 ,1,$18.40 ,Quartet,$18.40 
Michael Hoffman,$151.10 ,10,$15.10 ,One Fine Day,$46.20 
Philip Seymour Hoffman,$542k,1,$542k,Jack Goes Boating,$542k
P.J. Hogan,$235.00 ,4,$58.70 ,My Best Friend's Wedding,$127.10 
Nicole Holofcener,$40.50 ,5,$8.10 ,Enough Said,$17.60 
Tom Hooper,$299.20 ,4,$74.80 ,Les Miserables,$148.80 
Anthony Hopkins,$78.0k,2,$39.0k,August (1996),$69.1k
Stephen Hopkins,$247.90 ,9,$27.50 ,Lost in Space,$69.10 
Ron Howard,"$1,896.00 ",24,$79.00 ,The Grinch,$260.00 
Albert Hughes,$178.80 ,5,$35.80 ,The Book of Eli,$94.80 
Allen Hughes,$198.50 ,6,$33.10 ,The Book of Eli,$94.80 
