Person,Total Gross,# Movies,Average,#1 Picture,Gross
Pamela Abdy,$254.30 ,5,$50.90 ,Identity Thief,$134.50 
Marc Abraham,$924.20 ,28,$33.00 ,Air Force One,$173.00 
Jim Abrahams,$329.00 ,6,$54.80 ,Naked Gun 2 1/2,$86.90 
J.J. Abrams,"$2,423.20 ",15,$161.50 ,Star Wars: The Force Awakens,$936.70 
Andrew Adamson,$266.20 ,3,$88.70 ,Puss in Boots,$149.30 
Gilbert Adler,$505.50 ,10,$50.50 ,Superman Returns,$200.10 
Ben Affleck,$167.20 ,6,$27.90 ,Argo,$136.00 
Casey Affleck,$409k,1,$409k,I'm Still Here,$409k
Sergio Aguero,$88.70 ,4,$22.20 ,No Reservations,$43.10 
Patrick Aiello,$31.60 ,6,$5.30 ,As Above/So Below,$21.30 
Stephanie Allain,$169.40 ,12,$14.10 ,Good Boy!,$37.70 
Pedro Almodovar,$17.20 ,8,$2.10 ,Women on the Verge of a Nervous Breakdown,$7.20 
Victoria Alonso,"$2,084.30 ",5,$416.90 ,The Avengers,$623.40 
Fede Alvarez,$89.20 ,1,$89.20 ,Don't Breathe,$89.20 
Matt Alvarez,$774.10 ,14,$55.30 ,Straight Outta Compton,$161.20 
Rick Alvarez,$212.50 ,5,$42.50 ,White Chicks,$70.80 
Sean Anders,$150.40 ,1,$150.40 ,Daddy's Home,$150.40 
Bruce Anderson,$429.70 ,3,$143.20 ,Horton Hears a Who!,$154.50 
Darla K. Anderson,"$1,321.50 ",5,$264.30 ,Toy Story 3,$415.00 
Paul Thomas Anderson,$131.40 ,6,$21.90 ,There Will Be Blood,$40.20 
Paul W.S. Anderson,$335.20 ,10,$33.50 ,Resident Evil: Afterlife,$60.10 
Wes Anderson,$238.60 ,8,$29.80 ,The Grand Budapest Hotel,$59.30 
Jennifer Aniston,$30.70 ,3,$10.20 ,The Switch,$27.80 
Judd Apatow,"$1,801.00 ",27,$66.70 ,Bridesmaids,$169.10 
Josh Appelbaum,$22.30 ,1,$22.30 ,Project Almanac,$22.30 
Michael Apted,$83.70 ,2,$41.80 ,Bram Stoker's Dracula,$82.50 
Avi Arad,"$3,656.60 ",23,$159.00 ,Spider-Man,$403.70 
Gregg Araki,$1.40 ,6,$226k,Mysterious Skin,$713k
Ozzie Areu,$288.40 ,6,$48.10 ,Boo! A Madea Halloween,$73.20 
Scott Aversano,$759.70 ,10,$76.00 ,The Last Airbender,$131.80 
David Ayer,$140.70 ,4,$35.20 ,Fury,$85.80 
Riza Aziz,$372.20 ,6,$62.00 ,Daddy's Home,$150.40 
Bill Badalato,$627.00 ,15,$41.80 ,Top Gun,$179.80 
Amy Baer,$63.90 ,1,$63.90 ,Last Vegas,$63.90 
