Person,Total Gross,# Movies,Average,#1 Picture,Gross
Sean Bailey,$274.60 ,6,$45.80 ,Tron Legacy,$172.10 
Christian Bale,$3.30 ,1,$3.30 ,Harsh Times,$3.30 
Wes Ball,$3.60 ,1,$3.60 ,Phoenix Forgotten,$3.60 
Elizabeth Banks,$287.90 ,3,$96.00 ,Pitch Perfect 2,$184.30 
Gary Barber,"$3,233.30 ",68,$47.50 ,Bruce Almighty,$242.80 
Bob Barlen,$28.40 ,1,$28.40 ,The Nut Job 2,$28.40 
Jason Bateman,$142.30 ,2,$71.10 ,Identity Thief,$134.50 
Noah Baumbach,$7.60 ,1,$7.60 ,While We're Young,$7.60 
Michael Bay,"$2,990.00 ",25,$119.60 ,Transformers 2,$402.10 
Simon Beaufoy,$647k,1,$647k,Japanese Story,$647k
Timur Bekmambetov,$150.10 ,6,$25.00 ,Abraham Lincoln,$37.50 
Ali Bell,$34.90 ,2,$17.40 ,Draft Day,$28.80 
Lake Bell,$281k,1,$281k,I Do Until I Don't,$281k
Kristine Belson,$459.00 ,4,$114.80 ,How to Train Your Dragon,$217.60 
Chris Bender,"$1,232.10 ",17,$72.50 ,The Hangover,$277.30 
Lawrence Bender,$795.50 ,27,$29.50 ,Good Will Hunting,$138.40 
Jessica Bendinger,$100.10 ,2,$50.10 ,Bring It On,$68.40 
Ned Benson,$588k,1,$588k,The Disappearance of Eleanor Rigby,$588k
Alec Berg,$77.40 ,2,$38.70 ,The Dictator,$59.70 
Peter Berg,$198.90 ,4,$49.70 ,Hercules,$72.70 
Albert Berger,$248.50 ,13,$19.10 ,Cold Mountain,$95.60 
Ram Bergman,$748.10 ,16,$46.80 ,Star Wars: The Last Jedi,$620.20 
Greg Berlanti,$151.70 ,2,$75.80 ,Green Lantern,$116.60 
Halle Berry,$30.70 ,1,$30.70 ,Kidnap,$30.70 
Luc Besson,$819.00 ,28,$29.20 ,Taken,$145.00 
Tim Bevan,"$2,203.70 ",89,$24.80 ,Les Miserables,$148.80 
Justin Bieber,$6.20 ,1,$6.20 ,Believe,$6.20 
Kathryn Bigelow,$147.90 ,3,$49.30 ,Zero Dark Thirty,$95.70 
Mike Binder,$21.60 ,1,$21.60 ,Black or White,$21.60 
Brad Bird,$93.40 ,1,$93.40 ,Tomorrowland,$93.40 
Roger Birnbaum,"$4,074.40 ",79,$51.60 ,Bruce Almighty,$242.80 
Robin Bissell,$619.80 ,4,$154.90 ,The Hunger Games,$408.00 
Dustin Lance Black,$31.80 ,1,$31.80 ,Milk,$31.80 
Jack Black,$131.30 ,3,$43.80 ,Nacho Libre,$80.20 
Shane Black,$93.00 ,2,$46.50 ,The Last Boy Scout,$59.50 
Todd Black,"$1,028.50 ",26,$39.60 ,The Pursuit of Happyness,$163.60 
David Bloomfield,$212.20 ,4,$53.00 ,Knowing,$80.00 
Jason Blum,"$1,753.30 ",35,$50.10 ,Get Out,$176.00 
Stuart Blumberg,$37.10 ,2,$18.60 ,Keeping the Faith,$37.00 
Jason Blumenthal,$722.50 ,13,$55.60 ,The Pursuit of Happyness,$163.60 
Mark Boal,$112.70 ,2,$56.40 ,Zero Dark Thirty,$95.70 
Paul Harris Boardman,$185.00 ,3,$61.70 ,The Day the Earth Stood Still,$79.40 
Anna Boden,$3.80 ,2,$1.90 ,Half Nelson,$2.70 
Jeremy Bolt,$310.90 ,12,$25.90 ,Resident Evil: Afterlife,$60.10 
Mark Bomback,$208.50 ,1,$208.50 ,Dawn of the Planet of the Apes,$208.50 
Josh Boone,$81.1k,1,$81.1k,Stuck in Love,$81.1k
Michael Bostick,$711.40 ,6,$118.60 ,Bruce Almighty,$242.80 
Darren Lynn Bousman,$147k,1,$147k,Repo: The Genetic Opera,$147k
Marty Bowen,"$1,934.80 ",16,$120.90 ,The Twilight Saga: Eclipse,$300.50 
Danny Boyle,$47.00 ,2,$23.50 ,28 Weeks Later,$28.60 
Adam J. Braff,$3.60 ,1,$3.60 ,Wish I Was Here,$3.60 
Zach Braff,$3.60 ,2,$1.80 ,Wish I Was Here,$3.60 
Kenneth Branagh,$102.80 ,1,$102.80 ,Murder on the Orient Express (2017),$102.80 
Russell Brand,$33.00 ,1,$33.00 ,Arthur (2011),$33.00 
Scooter Braun,$126.50 ,4,$31.60 ,Justin Bieber,$73.00 
Lara Breay,$231.80 ,2,$115.90 ,Megamind,$148.40 
Jeff Bridges,$84.90 ,3,$28.30 ,The Giver,$45.10 
Barbara Broccoli,"$1,359.90 ",8,$170.00 ,Skyfall,$304.40 
James L. Brooks,$197.60 ,2,$98.80 ,The Simpsons Movie,$183.10 
Paul Brooks,$562.80 ,18,$31.30 ,My Big Fat Greek Wedding,$241.40 
Chris Brown,$57.70 ,1,$57.70 ,Takers,$57.70 
Mark Brown,$163.30 ,4,$40.80 ,Barbershop,$75.80 
Jerry Bruckheimer,"$4,892.40 ",44,$111.20 ,Dead Man's Chest,$423.30 
Pieter Jan Brugge,$451.30 ,15,$30.10 ,Pelican Brief,$100.80 
Dana Brunetti,$685.50 ,12,$57.10 ,Fifty Shades of Grey,$166.20 
Ian Bryce,"$3,598.20 ",23,$156.40 ,Spider-Man,$403.70 
Scott Budnick,$913.50 ,9,$101.50 ,The Hangover,$277.30 
Sandra Bullock,$7.00 ,1,$7.00 ,Our Brand Is Crisis (2015),$7.00 
Neil Burger,$130.40 ,2,$65.20 ,Insurgent,$130.20 
Bryan Burk,"$2,224.50 ",9,$247.20 ,Star Wars: The Force Awakens,$936.70 
Mark Burnett,$66.20 ,2,$33.10 ,Son of God,$59.70 
Edward Burns,$50.3k,1,$50.3k,The Fitzgerald Family Christmas,$50.3k
Scott Z. Burns,$56.30 ,2,$28.20 ,Side Effects,$32.20 
Tim Burton,$789.50 ,13,$60.70 ,Batman Forever,$184.00 
Gerard Butler,$64.10 ,3,$21.40 ,Den of Thieves,$44.90 
Jez Butterworth,$9.50 ,1,$9.50 ,Fair Game (2010),$9.50 
Nicolas Cage,$174.40 ,9,$19.40 ,The Sorcerer's Apprentice,$63.20 
Mike Cahill,$1.30 ,1,$1.30 ,Another Earth,$1.30 
Keith Calder,$23.30 ,7,$3.30 ,You're Next,$18.50 
James Cameron,"$1,240.60 ",10,$124.10 ,Avatar,$760.50 
Iain Canning,$143.90 ,5,$28.80 ,The King's Speech,$138.80 
Mark Canton,$837.20 ,25,$33.50 ,300,$210.60 
Steve Carell,$84.40 ,1,$84.40 ,"Crazy, Stupid, Love.",$84.40 
Don Carmody,"$1,181.10 ",53,$22.30 ,Chicago,$170.70 
Joe Carnahan,$51.60 ,1,$51.60 ,The Grey,$51.60 
Matthew Michael Carnahan,$15.00 ,1,$15.00 ,Lions for Lambs,$15.00 
Reid Carolin,$444.60 ,4,$111.10 ,22 Jump Street,$191.70 
Jim Carrey,$353.20 ,2,$176.60 ,Bruce Almighty,$242.80 
Gordon Carroll,$349.60 ,7,$49.90 ,Alien,$80.90 
Thomas Carter,$67.30 ,1,$67.30 ,Coach Carter,$67.30 
Susan Cartsonis,$307.10 ,7,$43.90 ,What Women Want,$182.80 
Joseph Cedar,$2.00 ,1,$2.00 ,Footnote,$2.00 
Cedric the Entertainer,$52.20 ,3,$17.40 ,Johnson Family Vacation,$31.20 
Cean Chaffin,$612.60 ,7,$87.50 ,Gone Girl,$167.80 
Jackie Chan,$34.50 ,2,$17.30 ,The Foreigner,$34.40 
David Chase,$611k,1,$611k,Not Fade Away,$611k
Debra Martin Chase,$290.60 ,4,$72.60 ,Princess Diaries,$108.20 
Damien Chazelle,$35.6k,1,$35.6k,Guy and Madeline on a Park Bench,$35.6k
Stephen Chbosky,$17.70 ,1,$17.70 ,The Perks of Being a Wallflower,$17.70 
Don Cheadle,$44.10 ,1,$44.10 ,St. Vincent,$44.10 
Peter Chernin,"$1,275.90 ",13,$98.10 ,Dawn of the Planet of the Apes,$208.50 
Jeffrey Chernov,"$1,149.20 ",14,$82.10 ,Star Trek,$257.70 
Morris Chestnut,$57.70 ,1,$57.70 ,Takers,$57.70 
Jon Chu,$2.20 ,1,$2.20 ,Jem and the Holograms,$2.20 
Michael Cimino,$57.20 ,4,$14.30 ,The Deer Hunter,$49.00 
Dylan Clark,$707.00 ,7,$101.00 ,Dawn of the Planet of the Apes,$208.50 
Jason Clark,"$1,016.90 ",15,$67.80 ,Ted,$218.80 
George Clooney,$340.80 ,6,$56.80 ,Argo,$136.00 
Glenn Close,$3.00 ,1,$3.00 ,Albert Nobbs,$3.00 
Diablo Cody,$32.50 ,2,$16.30 ,Young Adult,$16.30 
Ethan Coen,$630.40 ,19,$33.20 ,True Grit,$171.20 
Joel Coen,$459.30 ,9,$51.00 ,True Grit,$171.20 
Andrew J. Cohen,$150.20 ,1,$150.20 ,Neighbors,$150.20 
Bobby Cohen,$673.60 ,14,$48.10 ,Now You See Me,$117.70 
Kate Cohen,$23.00 ,1,$23.00 ,Transcendence,$23.00 
Sacha Baron Cohen,$321.20 ,4,$80.30 ,Borat,$128.50 
Jaume Collet-Serra,$4.3k,1,$4.3k,Anna,$4.3k
Suzanne Collins,$745.10 ,2,$372.60 ,The Hunger Games,$408.00 
Chris Columbus,"$2,407.80 ",19,$126.70 ,Harry Potter / Sorcerer's Stone,$317.60 
Derek Connolly,$4.00 ,1,$4.00 ,Safety Not Guaranteed,$4.00 
Steve Coogan,$37.70 ,1,$37.70 ,Philomena,$37.70 
Bradley Cooper,$511.70 ,3,$170.60 ,American Sniper,$350.10 
Scott Cooper,$69.30 ,2,$34.60 ,Crazy Heart,$39.50 
Roman Coppola,$13.80 ,4,$3.40 ,The Darjeeling Limited,$11.90 
Anton Corbijn,$872k,1,$872k,Control,$872k
Kevin Costner,$649.00 ,12,$54.10 ,Dances with Wolves,$184.20 
Rob Cowan,$411.40 ,14,$29.40 ,The Conjuring,$137.40 
Simon Cowell,$29.00 ,2,$14.50 ,One Direction: This is Us,$28.90 
Courteney Cox,$11.0k,1,$11.0k,Just Before I Go,$11.0k
Wes Craven,$38.20 ,1,$38.20 ,Scream 4,$38.20 
Cameron Crowe,$21.10 ,1,$21.10 ,Aloha,$21.10 
Patrick Crowley,"$2,026.40 ",15,$135.10 ,Jurassic World,$652.30 
Tom Cruise,"$1,423.00 ",15,$94.90 ,Mission: Impossible II,$215.40 
Billy Crystal,$77.30 ,1,$77.30 ,Parental Guidance,$77.30 
Alfonso Cuaron,$274.10 ,1,$274.10 ,Gravity,$274.10 
Ice Cube,$867.70 ,16,$54.20 ,Straight Outta Compton,$161.20 
Michael Cuesta,$1.20 ,2,$618k,L.I.E.,$1.10 
John Curran,$8.10 ,1,$8.10 ,The Painted Veil,$8.10 
John Cusack,$56.00 ,5,$11.20 ,Grosse Pointe Blank,$28.10 
R.J. Cutler,$4.20 ,2,$2.10 ,The September Issue,$3.80 
Chris D'Arienzo,$38.50 ,1,$38.50 ,Rock of Ages,$38.50 
Louis D'Esposito,"$3,559.70 ",12,$296.60 ,The Avengers,$623.40 
Dinesh D'Souza,$14.40 ,1,$14.40 ,America (2014),$14.40 
J. Miles Dale,$390.60 ,11,$35.50 ,The Vow,$125.00 
Matt Damon,$162.90 ,4,$40.70 ,Jason Bourne,$162.40 
Lee Daniels,$197.40 ,5,$39.50 ,The Butler,$116.60 
Frank Darabont,$292.00 ,5,$58.40 ,Green Mile,$136.80 
Eric Darnell,$83.40 ,1,$83.40 ,Penguins of Madagascar,$83.40 
John Davis,"$2,305.80 ",56,$41.20 ,The Firm,$158.30 
Doug Davison,$870.30 ,15,$58.00 ,The LEGO Movie,$257.80 
Donald De Line,$402.10 ,5,$80.40 ,Ready Player One,$133.10 
Michael De Luca,"$2,529.60 ",55,$46.00 ,Rush Hour 2,$226.20 
Dean DeBlois,$177.00 ,1,$177.00 ,How to Train Your Dragon 2,$177.00 
Adam Del Deo,$24.90 ,4,$6.20 ,Stay Alive,$23.10 
Guillermo del Toro,$618.00 ,14,$44.10 ,Puss in Boots,$149.30 
John DeLuca,$388.80 ,3,$129.60 ,Pirates of the Caribbean 4,$241.10 
Johnny Depp,$263.70 ,5,$52.70 ,The Lone Ranger,$89.30 
Tony DeRosa-Grund,$151.70 ,2,$75.80 ,The Conjuring,$137.40 
Tom DeSanto,"$1,830.50 ",8,$228.80 ,Transformers 2,$402.10 
Danny DeVito,$26.30 ,1,$26.30 ,A Walk Among the Tombstones,$26.30 
Dean Devlin,$794.80 ,10,$79.50 ,Independence Day,$306.20 
Tom Dey,$33.60 ,1,$33.60 ,Marmaduke,$33.60 
Lorenzo di Bonaventura,"$2,667.60 ",26,$102.60 ,Transformers 2,$402.10 
Denise Di Novi,"$1,024.10 ",27,$37.90 ,Batman Returns,$162.80 
Leonardo DiCaprio,$382.20 ,10,$38.20 ,The Wolf of Wall Street,$116.90 
Kirby Dick,$8.1k,1,$8.1k,Twist of Faith,$8.1k
Vin Diesel,"$1,535.80 ",11,$139.60 ,Furious 7,$353.00 
Barry Diller,$25.30 ,1,$25.30 ,Top Five,$25.30 
Leslie Dixon,$146.20 ,6,$24.40 ,Limitless,$79.20 
David Dobkin,$222.10 ,5,$44.40 ,Vacation,$58.90 
Pete Docter,$237.30 ,1,$237.30 ,Brave,$237.30 
Roger Donaldson,$32.80 ,2,$16.40 ,Cadillac Man,$27.60 
John C. Donkin,$761.30 ,5,$152.30 ,Ice Age 3,$196.60 
Lauren Schuler Donner,"$2,795.50 ",31,$90.20 ,Deadpool,$363.10 
Richard Donner,$179.90 ,1,$179.90 ,X-Men Origins: Wolverine,$179.90 
Michael Douglas,$756.10 ,17,$44.50 ,Face/Off,$112.30 
Drew Dowdle,$113.90 ,4,$28.50 ,Devil,$33.60 
John Erick Dowdle,$33.60 ,1,$33.60 ,Devil,$33.60 
Susan Downey,"$1,245.10 ",16,$77.80 ,Iron Man 2,$312.40 
"Robert Downey, Jr.",$47.10 ,1,$47.10 ,The Judge,$47.10 
Mike Drake,$144.90 ,6,$24.10 ,Nightmare on Elm Street,$63.10 
Marcy Drogin,$72.30 ,3,$24.10 ,The Sentinel,$36.30 
Bill Duke,$23.60 ,2,$11.80 ,Hoodlum,$23.50 
Jay Duplass,$10.10 ,4,$2.50 ,The Skeleton Twins,$5.30 
Mark Duplass,$13.10 ,8,$1.60 ,The Skeleton Twins,$5.30 
Robert Duvall,$39.60 ,5,$7.90 ,The Apostle,$19.90 
Ava DuVernay,$52.40 ,3,$17.50 ,Selma,$52.10 
Clint Eastwood,"$1,412.50 ",27,$52.30 ,American Sniper,$350.10 
Aaron Eckhart,$62.6k,1,$62.6k,Meet Bill,$62.6k
Zac Efron,$26.10 ,1,$26.10 ,That Awkward Moment,$26.10 
Bernd Eichinger,$504.40 ,18,$28.00 ,Fantastic Four (2005),$154.70 
Idris Elba,$52.50 ,1,$52.50 ,No Good Deed,$52.50 
Tony Eldridge,$101.50 ,1,$101.50 ,The Equalizer,$101.50 
Eric Ellenbogen,$245.20 ,4,$61.30 ,Mr. Peabody & Sherman,$111.50 
Ted Elliott,$241.10 ,1,$241.10 ,Pirates of the Caribbean 4,$241.10 
David Ellison,"$1,604.40 ",12,$133.70 ,Star Trek Into Darkness,$228.80 
Megan Ellison,$714.40 ,13,$55.00 ,True Grit,$171.20 
Roland Emmerich,$180.90 ,4,$45.20 ,Independence Day: Resurgence,$103.10 
Randall Emmett,$578.10 ,23,$25.10 ,Lone Survivor,$125.10 
Nora Ephron,$441.00 ,9,$49.00 ,You've Got Mail,$115.80 
Andrew Erwin,$15.80 ,2,$7.90 ,Moms' Night Out,$10.40 
Jon Erwin,$15.80 ,2,$7.90 ,Moms' Night Out,$10.40 
Bruce A. Evans,$87.20 ,3,$29.10 ,Stand by Me,$52.30 
Gareth Evans,$4.10 ,1,$4.10 ,The Raid: Redemption,$4.10 
Marc D. Evans,$266.50 ,8,$33.30 ,Safe House,$126.40 
Anna Faris,$14.00 ,1,$14.00 ,What's Your Number?,$14.00 
The Farrelly Bros.,$175.60 ,3,$58.50 ,Dumb and Dumber To,$86.20 
Michael Fassbender,$54.60 ,1,$54.60 ,Assassin's Creed,$54.60 
Jon Favreau,"$2,163.90 ",9,$240.40 ,The Avengers,$623.40 
Paul Feig,$110.80 ,1,$110.80 ,Spy,$110.80 
Kevin Feige,"$8,377.10 ",32,$261.80 ,Black Panther,$693.20 
Eric Fellner,"$2,181.10 ",83,$26.30 ,Les Miserables,$148.80 
Charles Ferguson,$5.70 ,2,$2.90 ,Inside Job,$4.30 
Will Ferrell,$665.10 ,9,$73.90 ,Daddy's Home,$150.40 
Tina Fey,$110.10 ,2,$55.10 ,Sisters,$87.00 
Andy Fickman,$25.70 ,1,$25.70 ,You Again,$25.70 
Ted Field,"$1,945.70 ",54,$36.00 ,Three Men and a Baby,$167.80 
Todd Field,$41.40 ,2,$20.70 ,In the Bedroom,$35.90 
Simon Fields,$274.10 ,10,$27.40 ,Teenage Mutant Ninja Turtles,$135.30 
Ralph Fiennes,$757k,1,$757k,Coriolanus,$757k
Alan Fine,"$2,960.80 ",9,$329.00 ,The Avengers,$623.40 
Brad Fischer,$457.00 ,8,$57.10 ,Shutter Island,$128.00 
Lucy Fisher,$661.30 ,9,$73.50 ,Divergent,$150.90 
Ruben Fleischer,$46.00 ,1,$46.00 ,Gangster Squad,$46.00 
Geoffrey Fletcher,$17.2k,1,$17.2k,Violet & Daisy,$17.2k
Beau Flynn,$839.50 ,25,$33.60 ,San Andreas,$155.20 
Dan Fogelman,$37.10 ,1,$37.10 ,The Guilt Trip,$37.10 
Andrew Form,"$1,134.00 ",17,$66.70 ,Ninja Turtles,$191.20 
Jennifer Fox,$408.40 ,12,$34.00 ,The Bourne Legacy,$113.20 
Larry J. Franco,"$1,244.90 ",17,$73.20 ,Batman Begins,$206.90 
Scott Frank,$687k,1,$687k,Caveman's Valentine,$687k
David Frankel,$5.20 ,1,$5.20 ,Miami Rhapsody,$5.20 
DeVon Franklin,$61.70 ,1,$61.70 ,Miracles from Heaven,$61.70 
Jason Friedberg,$140.70 ,4,$35.20 ,Date Movie,$48.50 
Brad Fuller,"$1,129.90 ",16,$70.60 ,Ninja Turtles,$191.20 
Antoine Fuqua,$52.40 ,1,$52.40 ,Southpaw,$52.40 
George Furla,$573.70 ,23,$24.90 ,Lone Survivor,$125.10 
Neil Gaiman,$120.90 ,2,$60.50 ,Beowulf,$82.30 
Zach Galifianakis,$86.90 ,1,$86.90 ,The Campaign,$86.90 
Vincent Gallo,$366k,1,$366k,The Brown Bunny,$366k
Dede Gardner,$589.00 ,15,$39.30 ,World War Z,$202.40 
Jeremy Garelick,$64.50 ,1,$64.50 ,The Wedding Ringer,$64.50 
Alex Garland,$44.50 ,3,$14.80 ,28 Weeks Later,$28.60 
Todd Garner,"$1,415.70 ",24,$59.00 ,Paul Blart: Mall Cop,$146.30 
Ed Gass-Donnelly,$31.1k,1,$31.1k,Small Town Murder Songs,$31.1k
George Gatins,$32.00 ,1,$32.00 ,She's Out of My League,$32.00 
John Gatins,$43.60 ,1,$43.60 ,Need for Speed,$43.60 
Bill Gerber,$407.60 ,12,$34.00 ,Gran Torino,$148.10 
Richard Gere,$167k,1,$167k,Time Out of Mind,$167k
Sacha Gervasi,$958k,3,$319k,Anvil! The Story of Anvil,$668k
Jack Giarraputo,"$2,804.10 ",36,$77.90 ,Big Daddy,$163.50 
Arlene Gibbs,$23.60 ,2,$11.80 ,Traitor,$23.50 
Jennifer Gibgot,$932.10 ,15,$62.10 ,Hairspray (2007),$118.90 
Raynold Gideon,$136.90 ,5,$27.40 ,Stand by Me,$52.30 
David Giler,$288.30 ,7,$41.20 ,Alien,$80.90 
Tony Gilroy,$32.40 ,1,$32.40 ,Nightcrawler,$32.40 
Jonathan Glickman,"$1,886.90 ",34,$55.50 ,Rush Hour 2,$226.20 
Will Gluck,$266.00 ,5,$53.20 ,Annie (2014),$85.90 
Wyck Godfrey,"$2,543.20 ",24,$106.00 ,The Twilight Saga: Eclipse,$300.50 
Gary Goetzman,"$1,517.30 ",24,$63.20 ,My Big Fat Greek Wedding,$241.40 
Dana Goldberg,"$1,879.80 ",17,$110.60 ,I Am Legend,$256.40 
Evan Goldberg,"$1,084.40 ",13,$83.40 ,Neighbors,$150.20 
Bernie Goldmann,$610.90 ,12,$50.90 ,300,$210.60 
Akiva Goldsman,"$1,381.00 ",18,$76.70 ,I Am Legend,$256.40 
Gary W. Goldstein,$185.20 ,5,$37.00 ,Under Siege,$83.60 
Bobcat Goldthwait,$15.7k,1,$15.7k,Sleeping Dogs Lie,$15.7k
Steve Golin,$741.80 ,38,$19.50 ,The Revenant,$183.60 
Alejandro González Iñárritu,$290.50 ,9,$32.30 ,The Revenant,$183.60 
Lawrence Gordon,"$1,596.10 ",33,$48.40 ,Tomb Raider,$131.20 
Mark Gordon,"$1,612.80 ",36,$44.80 ,Saving Private Ryan,$216.50 
Seth Gordon,$78.70 ,1,$78.70 ,Pixels,$78.70 
Joseph Gordon-Levitt,$66.50 ,1,$66.50 ,Looper,$66.50 
Joy Gorman,$7.10 ,2,$3.60 ,Seeking a Friend for the End of the World,$7.10 
Ryan Gosling,$10.50 ,2,$5.20 ,Blue Valentine,$9.70 
Nigel Gostelow,$256.40 ,2,$128.20 ,Captain America,$176.70 
David S. Goyer,$632.70 ,5,$126.50 ,Batman v Superman,$330.40 
Topher Grace,$6.90 ,1,$6.90 ,Take Me Home Tonight,$6.90 
Todd Graff,$11.50 ,1,$11.50 ,Beautician and the Beast,$11.50 
Seth Grahame-Smith,$37.50 ,1,$37.50 ,Abraham Lincoln,$37.50 
James Gray,$2.00 ,1,$2.00 ,The Immigrant,$2.00 
John Gray,$31.1k,1,$31.1k,White Irish Drinkers,$31.1k
Brian Grazer,"$4,150.00 ",65,$63.80 ,The Grinch,$260.00 
Nelson Greaves,$32.50 ,1,$32.50 ,Unfriended,$32.50 
Brunson Green,$169.70 ,2,$84.90 ,The Help,$169.70 
David Gordon Green,$373k,1,$373k,Joe,$373k
Luke Greenfield,$149.70 ,2,$74.80 ,Let's Be Cops,$82.40 
Paul Greengrass,$162.40 ,1,$162.40 ,Jason Bourne,$162.40 
Alison Greenspan,$362.20 ,10,$36.20 ,The Lucky One,$60.50 
Brad Grey,$801.10 ,17,$47.10 ,Charlie and the Chocolate Factory,$206.50 
Michael Grillo,$849.70 ,12,$70.80 ,The Amazing Spider-Man,$262.00 
Nora Grossman,$91.10 ,1,$91.10 ,The Imitation Game,$91.10 
Davis Guggenheim,$107.10 ,5,$21.40 ,Training Day,$76.60 
Jake Gyllenhaal,$32.40 ,1,$32.40 ,Nightcrawler,$32.40 
Taylor Hackford,$339.90 ,17,$20.00 ,Ray,$75.30 
Samuel Hadida,$283.20 ,17,$16.70 ,Resident Evil: Apocalypse,$51.20 
Paul Haggis,$190.00 ,4,$47.50 ,Million Dollar Baby,$100.50 
Don Hahn,"$1,331.70 ",12,$111.00 ,Lion King,$422.80 
Jason Dean Hall,$350.10 ,1,$350.10 ,American Sniper,$350.10 
Paul Hall,$390.50 ,12,$32.50 ,Shaft,$70.30 
Dan Halsted,$281.00 ,10,$28.10 ,S.W.A.T.,$116.90 
Jon Hamm,$7.30 ,1,$7.30 ,Friends with Kids,$7.30 
Thomas M. Hammel,"$1,069.20 ",13,$82.20 ,Night at the Museum,$250.90 
Ari Handel,$208.20 ,2,$104.10 ,Black Swan,$107.00 
Max Handelman,$287.90 ,3,$96.00 ,Pitch Perfect 2,$184.30 
Tom Hanks,"$1,166.00 ",14,$83.30 ,My Big Fat Greek Wedding,$241.40 
Curtis Hanson,$13.20 ,2,$6.60 ,The Big Year,$7.20 
Catherine Hardwicke,$37.70 ,1,$37.70 ,Red Riding Hood,$37.70 
Rob Hardy,$205.40 ,3,$68.50 ,Think Like a Man,$91.50 
Renny Harlin,$18.80 ,1,$18.80 ,The Legend of Hercules,$18.80 
Ed Harris,$28.80 ,2,$14.40 ,Appaloosa,$20.20 
Kevin Hart,$40.00 ,2,$20.00 ,Kevin Hart: Let Me Explain,$32.20 
Jane Hartwell,$187.20 ,1,$187.20 ,The Croods,$187.20 
Joe Hartwick Jr.,$155.80 ,2,$77.90 ,The Maze Runner,$102.40 
Adi Hasak,$30.70 ,1,$30.70 ,3 Days to Kill,$30.70 
Justin Haythe,$42.90 ,1,$42.90 ,Snitch,$42.90 
Tim Headington,$595.20 ,9,$66.10 ,Argo,$136.00 
Janet Healy,"$2,248.40 ",9,$249.80 ,The Secret Life of Pets,$368.40 
Katherine Heigl,$26.40 ,1,$26.40 ,One For the Money,$26.40 
Alex Heineman,$151.80 ,3,$50.60 ,Non-Stop,$92.20 
Eric Heisserer,$67.30 ,1,$67.30 ,Lights Out,$67.30 
Brian Helgeland,$64.20 ,2,$32.10 ,A Knight's Tale,$56.60 
Chris Henchy,$518.60 ,8,$64.80 ,Daddy's Home,$150.40 
Taraji P. Henson,$52.50 ,1,$52.50 ,No Good Deed,$52.50 
Tim Herlihy,$886.00 ,8,$110.70 ,Grown Ups,$162.00 
Werner Herzog,$82.0k,1,$82.0k,Invincible (2002),$82.0k
