date,movie
6/16/2017,Cars 3
6/16/2017,Rough Night
6/16/2017,The Book of Henry
6/16/2017,The Journey
6/16/2017,Kill Switch
6/16/2017,Lost in Paris
6/16/2017,Maudie
6/16/2017,Once Upon a Time in Venice
6/21/2017,Transformers: The Last Knight
6/23/2017,The Bad Batch
6/23/2017,The Beguiled
6/23/2017,The Big Sick
6/28/2017,Baby Driver
6/30/2017,Despicable Me 3
6/30/2017,The House
6/30/2017,13 Minutes
6/30/2017,2:22
6/30/2017,The Little Hours
6/30/2017,Score: A Film Music Documentary
7/7/2017,Spider-Man: Homecoming
7/7/2017,City of Ghosts
7/7/2017,A Ghost Story
7/7/2017,Hickok
7/14/2017,War for the Planet of the Apes
7/14/2017,Wish Upon
7/14/2017,Blind
7/14/2017,Chasing Coral
7/14/2017,Lady Macbeth
7/21/2017,Dunkirk
7/21/2017,Girls Trip
7/21/2017,Valerian and the City of a Thousand Planets
7/21/2017,First Kill
7/21/2017,Kuso
7/21/2017,Landline
7/28/2017,Atomic Blonde
7/28/2017,The Emoji Movie
7/28/2017,An Inconvenient Sequel: Truth to Power
7/28/2017,Brigsby Bear
7/28/2017,From the Land of the Moon
7/28/2017,Menashe
7/28/2017,Person to Person
8/4/2017,The Dark Tower
8/4/2017,Detroit
8/4/2017,Kidnap
8/4/2017,Columbus
8/4/2017,Fun Mom Dinner
8/4/2017,Step
8/4/2017,Wind River
8/11/2017,Annabelle: Creation
8/11/2017,The Glass Castle
8/11/2017,The Nut Job 2: Nutty by Nature
8/11/2017,Good Time
8/11/2017,Ingrid Goes West
8/11/2017,The Nile Hilton Incident
8/11/2017,The Only Living Boy in New York
8/11/2017,Pilgrimage
8/11/2017,The Trip to Spain
8/11/2017,Whose Streets?
8/18/2017,The Hitman's Bodyguard
8/18/2017,Logan Lucky
8/18/2017,6 Days
8/18/2017,Crown Heights
8/18/2017,Dave Made a Maze
8/18/2017,Gook
8/18/2017,Lemon
8/18/2017,Marjorie Prime
8/18/2017,Patti Cake$
8/25/2017,Birth of the Dragon
8/25/2017,Leap!
8/25/2017,Terminator 2 in 3D
8/25/2017,Beach Rats
8/25/2017,Bushwick
8/25/2017,Polina
8/25/2017,The Villainess
9/1/2017,Close Encounters of the Third Kind
9/1/2017,Tulip Fever
9/1/2017,Goon: Last of the Enforcers
9/1/2017,I Do Until I Don't
9/1/2017,The Layover
9/1/2017,Unlocked
9/1/2017,Viceroy's House
9/8/2017,Home Again
9/8/2017,It
9/8/2017,The Limehouse Golem
9/8/2017,Rebel in the Rye
9/8/2017,School Life
9/8/2017,Trophy
9/8/2017,True to the Game
9/8/2017,The Unknown Girl
9/15/2017,American Assassin
9/15/2017,mother!
9/15/2017,Brad's Status
9/15/2017,In Search of Fellini
9/15/2017,Vengeance: A Love Story
9/15/2017,Wetlands
9/15/2017,The Wilde Wedding
9/22/2017,Friend Request
9/22/2017,Kingsman: The Golden Circle
9/22/2017,The LEGO Ninjago Movie
9/22/2017,Battle of the Sexes
9/22/2017,The Force
9/22/2017,Loving Vincent
9/22/2017,Stronger
9/22/2017,The Tiger Hunter
9/22/2017,Victoria & Abdul
9/22/2017,Woodshock
9/29/2017,American Made
9/29/2017,Flatliners
9/29/2017,Chasing the Dragon
9/29/2017,"Literally, Right Before Aaron"
9/29/2017,Lucky
9/29/2017,Mark Felt: The Man Who Brought Down the White House
9/29/2017,Signature Move
9/29/2017,Super Dark Times
9/29/2017,Take Every Wave: The Life of Laird Hamilton
10/6/2017,Blade Runner 2049
10/6/2017,The Mountain Between Us
10/6/2017,My Little Pony: The Movie
10/6/2017,2307: Winter's Dream
10/6/2017,Better Watch Out
10/6/2017,Dina
10/6/2017,Earth: One Amazing Day
10/6/2017,"Faces, Places"
10/6/2017,The Florida Project
10/6/2017,Walking Out
10/13/2017,6 Below: Miracle on the Mountain
10/13/2017,The Foreigner
10/13/2017,Happy Death Day
10/13/2017,Marshall
10/13/2017,Professor Marston & the Wonder Women
10/13/2017,78/52
10/13/2017,Breathe
10/13/2017,Goodbye Christopher Robin
10/13/2017,Human Flow
10/13/2017,The Meyerowitz Stories
10/13/2017,The Secret Scripture
10/20/2017,Boo 2! A Madea Halloween
10/20/2017,Geostorm
10/20/2017,Only the Brave
10/20/2017,Same Kind of Different as Me
10/20/2017,The Snowman
10/20/2017,BPM (Beats Per Minute)
10/20/2017,Dealt
10/20/2017,Jane
10/20/2017,Killing Gunther
10/20/2017,The Killing of a Sacred Deer
10/20/2017,Leatherface
10/20/2017,Wonderstruck
10/20/2017,The Work
10/27/2017,All I See Is You
10/27/2017,Jigsaw
10/27/2017,Suburbicon
10/27/2017,Thank You for Your Service
10/27/2017,Acts of Vengeance
10/27/2017,Amityville: The Awakening
10/27/2017,The Divine Order
10/27/2017,Mr. Roosevelt
10/27/2017,Novitiate
10/27/2017,The Square
11/1/2017,A Bad Moms Christmas
11/3/2017,Thor: Ragnarok
11/3/2017,Blade of the Immortal
11/3/2017,Lady Bird
11/3/2017,Last Flag Flying
11/3/2017,LBJ
11/3/2017,My Friend Dahmer
11/3/2017,Newness
11/10/2017,Daddy's Home 2
11/10/2017,Murder on the Orient Express
11/10/2017,Thelma
11/10/2017,"Three Billboards Outside Ebbing, Missouri"
11/17/2017,Justice League
11/17/2017,The Star
11/17/2017,Wonder
11/17/2017,Almost Friends
11/17/2017,Mudbound
11/17/2017,"Roman J. Israel, Esq."
11/17/2017,Sweet Virginia
11/22/2017,Coco
11/22/2017,The Man Who Invented Christmas
11/22/2017,Darkest Hour
11/24/2017,Call Me By Your Name
12/1/2017,24 Hours to Live
12/1/2017,The Disaster Artist
12/1/2017,Gangster Land
12/1/2017,Love Beats Rhymes
12/1/2017,The Other Side of Hope
12/1/2017,Quest
12/1/2017,The Shape of Water
12/1/2017,Tribes of Palos Verdes
12/1/2017,Wonder Wheel
12/8/2017,The Disaster Artist
12/8/2017,Just Getting Started
12/8/2017,Bullet Head
12/8/2017,Hollow in the Land
12/8/2017,"I, Tonya"
12/8/2017,November Criminals
12/8/2017,The Pirates of Somalia
12/15/2017,Ferdinand
12/15/2017,The Shape of Water
12/15/2017,Star Wars: The Last Jedi
12/15/2017,The Ballad of Lefty Brown
12/15/2017,Beyond Skyline
12/20/2017,The Greatest Showman
12/20/2017,Jumanji: Welcome to the Jungle
12/22/2017,Downsizing
12/22/2017,Father Figures
12/22/2017,Pitch Perfect 3
12/22/2017,Crooked House
12/22/2017,Hangman
12/22/2017,Happy End
12/22/2017,Hostiles
12/22/2017,The Post
12/25/2017,All the Money in the World
12/25/2017,Molly's Game
12/25/2017,Phantom Thread
12/27/2017,In the Fade
12/29/2017,Film Stars Don't Die in Liverpool
