date,movie
1/6/2017,Hidden Figures
1/6/2017,A Monster Calls
1/6/2017,Underworld: Blood Wars
1/6/2017,Railroad Tigers
1/13/2017,The Bye Bye Man
1/13/2017,Live By Night
1/13/2017,Monster Trucks
1/13/2017,Sleepless
1/13/2017,Alone in Berlin
1/13/2017,The Book of Love
1/13/2017,The Crash
1/13/2017,Go North
1/20/2017,The Founder
1/20/2016,Split
1/20/2017,xXx: Return of Xander Cage
1/20/2017,Detour
1/20/2017,The Red Turtle
1/27/2017,A Dog's Purpose
1/27/2017,Gold
1/27/2017,Resident Evil: The Final Chapter
1/27/2017,The Salesman
2/1/2017,The Lure
2/3/2017,Rings
2/3/2017,The Space Between Us
2/3/2017,The Comedian
2/3/2017,I Am Not Your Negro
2/3/2017,Wheeler
2/3/2017,Youth in Oregon
2/10/2017,Fifty Shades Darker
2/10/2017,John Wick: Chapter 2
2/10/2017,The LEGO Batman Movie
2/10/2017,Kedi
2/10/2017,A United Kingdom
2/17/2017,A Cure for Wellness
2/17/2017,Fist Fight
2/17/2017,The Great Wall
2/17/2017,Everybody Loves Somebody
2/17/2017,From Nowhere
2/17/2017,Lovesong
2/24/2017,Collide
2/24/2017,Get Out
2/24/2017,Rock Dog
2/24/2017,Bitter Harvest
2/24/2017,The Girl with All the Gifts
2/24/2017,Kiki
2/24/2017,My Life as a Zucchini
2/24/2017,Punching Henry
3/3/2017,Before I Fall
3/3/2017,Logan
3/3/2017,The Shack
3/3/2017,Catfight
3/3/2017,Headshot
3/3/2017,The Last Word
3/3/2017,Table 19
3/3/2017,Wolves
3/10/2017,Kong: Skull Island
3/10/2017,Personal Shopper
3/10/2017,Raw
3/10/2017,The Sense of an Ending
3/10/2017,This Beautiful Fantastic
3/17/2017,Beauty and the Beast
3/17/2017,The Belko Experiment
3/17/2017,Mean Dreams
3/17/2017,Song to Song
3/17/2017,T2: Trainspotting
3/24/2017,CHIPS
3/24/2017,Life
3/24/2017,Power Rangers
3/24/2017,Bokeh
3/24/2017,Wilson
3/31/2017,The Boss Baby
3/31/2017,Ghost in the Shell
3/31/2017,The Zookeeper's Wife
3/31/2015,The Blackcoat's Daughter
3/31/2017,Carrie Pilby
4/7/2017,Going in Style
4/7/2017,Smurfs: The Lost Village
4/7/2017,Aftermath
4/7/2017,Alive and Kicking
4/7/2017,The Assignment
4/7/2017,Colossal
4/7/2017,Graduation
4/7/2017,Mine
4/7/2017,Their Finest
4/7/2017,The Void
4/12/2017,Gifted
4/14/2017,The Fate of the Furious
4/14/2017,Spark: A Space Tail
4/14/2017,The Lost City of Z
4/14/2016,Norman
4/14/2015,Queen of the Desert
4/14/2017,A Quiet Passion
4/21/2017,Born in China
4/21/2017,Free Fire
4/21/2017,The Lost City of Z
4/21/2017,Phoenix Forgotten
4/21/2017,Unforgettable
4/21/2017,The Happiest Day in the Life of Olli
4/21/2017,The Promise
4/26/2017,Obit
4/28/2017,The Circle
4/28/2017,How to Be a Latin Lover
4/28/2017,Sleight
4/28/2017,Buster's Mal Heart
4/28/2017,A Dark Song
4/28/2017,Rupture
5/5/2017,Guardians of the Galaxy Vol. 2
5/5/2017,3 Generations
5/5/2017,Chuck
5/5/2017,The Dinner
5/5/2017,The Lovers
5/5/2017,Risk
5/10/2017,Manifesto
5/12/2017,King Arthur: Legend of the Sword
5/12/2017,Lowriders
5/12/2017,Snatched
5/12/2017,Paris Can Wait
5/12/2017,Violet
5/12/2017,The Wall
5/12/2017,The Wedding Plan
5/19/2017,Alien: Covenant
5/19/2017,Diary of a Wimpy Kid: The Long Haul
5/19/2017,"Everything, Everything"
5/19/2017,The Commune
5/19/2017,Wakefield
5/25/2017,Baywatch
5/26/2017,Pirates of the Caribbean: Dead Men Tell No Tales
5/26/2017,Berlin Syndrome
5/26/2017,Drone
6/2/2017,Captain Underpants: The First Epic Movie
6/2/2017,Wonder Woman
6/2/2017,Band Aid
6/2/2017,Churchill
6/2/2017,Dean
6/2/2017,Past Life
6/9/2017,It Comes at Night
6/9/2017,Megan Leavey
6/9/2017,The Mummy
6/9/2017,Beatriz at Dinner
6/9/2017,Camera Obscura
6/9/2017,The Hero
6/9/2017,My Cousin Rachel
6/16/2018,48 Meters Down
6/16/2017,All Eyez on Me
