date,movie
1/5/2018,Insidious: The Last Key
1/5/2018,Molly's Game 
1/5/2018,Devil's Gate 
1/5/2018,The Strange Ones 
1/5/2018,Stratton 
1/12/2018,The Commuter
1/12/2018,Paddington 2
1/12/2018,Proud Mary
1/12/2018,The Post 
1/12/2018,Acts of Violence 
1/12/2018,Freak Show 
1/12/2018,The Insult 
1/17/2018,Beuys 
1/19/2018,12 Strong
1/19/2018,Den of Thieves
1/19/2018,Forever My Girl
1/19/2018,The Final Year 
1/19/2018,Mary and the Witch's Flower 
1/19/2018,Mom and Dad 
1/19/2016,The Road Movie 
1/26/2018,Hostiles 
1/26/2018,Maze Runner: The Death Cure
1/26/2018,Have a Nice Day 
1/26/2018,Kickboxer: Retaliation 
1/26/2018,Like Me 
1/26/2018,Please Stand By 
2/2/2018,Winchester
2/2/2018,The Cage Fighter 
2/2/2018,A Fantastic Woman 
2/2/2018,Scorched Earth 
2/9/2018,The 15:17 to Paris
2/9/2018,Fifty Shades Freed
2/9/2018,Peter Rabbit
2/9/2018,Basmati Blues 
2/9/2018,Entanglement 
2/9/2018,The Female Brain 
2/9/2018,Golden Exits 
2/9/2018,Padman 
2/14/2018,Double Lover 
2/16/2018,Black Panther
2/16/2018,Early Man
2/16/2018,Samson
2/16/2018,The Boy Downstairs 
2/16/2018,Loveless 
2/16/2018,Nostalgia 
2/16/2018,The Party 
2/16/2018,Western 
2/23/2018,Annihilation
2/23/2018,Every Day
2/23/2018,Game Night
2/23/2018,The Cured 
2/23/2018,Half Magic 
2/23/2018,The Lodgers 
2/23/2018,November 
3/2/2018,Death Wish
3/2/2018,Red Sparrow
3/2/2018,Foxtrot 
3/2/2018,Souvenir 
3/2/2018,Submission 
3/2/2018,The Vanishing of Sidney Hall 
3/9/2018,Gringo
3/9/2018,The Hurricane Heist
3/9/2018,The Strangers: Prey at Night
3/9/2018,A Wrinkle in Time
3/9/2018,Claire's Camera 
3/9/2018,The Death of Stalin 
3/9/2018,The Forgiven 
3/9/2018,The Leisure Seeker 
3/9/2018,Thoroughbreds 
3/16/2018,I Can Only Imagine
3/16/2018,"Love, Simon"
3/16/2018,Tomb Raider
3/16/2018,7 Days in Entebbe 
3/16/2018,Dear Dictator 
3/16/2018,Flower 
3/16/2018,Josie 
3/16/2018,Journey's End 
3/23/2018,Midnight Sun
3/23/2018,Pacific Rim: Uprising
3/23/2018,"Paul, Apostle of Christ"
3/23/2018,Sherlock Gnomes
3/23/2018,Unsane
3/23/2018,Final Portrait 
3/23/2018,Isle Of Dogs 
3/29/2018,Ready Player One
3/30/2018,Acrimony
3/30/2018,Birthmarked 
3/30/2018,The China Hustle 
3/30/2018,Finding Your Feet 
3/30/2018,Gemini 
3/30/2018,Love After Love 
3/30/2018,Outside In 
4/6/2018,Blockers
4/6/2018,Chappaquiddick
4/6/2018,The Miracle Season
4/6/2018,A Quiet Place
4/6/2018,The Endless 
4/6/2018,Lean on Pete 
4/6/2018,Pandas
4/6/2018,Spinning Man 
4/6/2018,Where is Kyra? 
4/6/2018,You Were Never Really Here 
4/11/2018,Beirut 
4/13/2018,Borg McEnroe
4/13/2018,Rampage
4/13/2018,Truth or Dare
4/13/2018,Aardvark 
4/13/2018,Flock of Four 
4/13/2018,Krystal 
4/13/2018,An Ordinary Man 
4/13/2018,The Rider 
4/13/2018,Submergence 
4/20/2018,I Feel Pretty
4/20/2018,Super Troopers 2
4/20/2018,Traffik
4/20/2018,The Devil and Father Amorth 
4/20/2018,Godard Mon Amour 
4/27/2018,Avengers: Infinity War
4/27/2018,Backstabbing for Beginners 
4/27/2018,Disobedience 
4/27/2018,The Escape of Prisoner 614 
4/27/2018,The House of Tomorrow 
4/27/2018,Kings 
4/27/2018,Modern Life is Rubbish 
5/4/2018,Bad Samaritan
5/4/2018,Overboard
5/4/2018,Tully
5/4/2018,The Cleanse 
5/4/2018,The Desert Bride 
5/4/2018,Izzy Gets the F*ck Across Town 
5/4/2018,Racer and the Jailbird 
5/4/2018,RBG 
5/11/2018,Breaking In
5/11/2018,Life of the Party
5/11/2018,Beast 
5/11/2016,Dark Crimes 
5/11/2018,Filmworker 
5/11/2018,Mountain 
5/11/2018,Revenge 
5/11/2018,The Seagull 
5/11/2018,Terminal 
5/18/2018,Book Club
5/18/2018,Deadpool 2
5/18/2018,Show Dogs
5/18/2018,First Reformed 
5/18/2018,How to Talk to Girls at Parties 
5/18/2018,On Chesil Beach 
5/25/2018,Solo: A Star Wars Story
5/25/2018,In Darkness 
5/25/2018,Mary Shelley 
5/25/2018,Summer 1993 
6/1/2018,Action Point
6/1/2018,Adrift
6/1/2018,American Animals 
6/1/2018,Upgrade 
6/8/2018,Hereditary
6/8/2018,Hotel Artemis
6/8/2018,Ocean's 8
6/8/2018,Hearts Beat Loud 
6/8/2018,A Kid Like Jake 
6/8/2018,Nancy 
6/8/2016,"Westwood: Punk, Icon, Activist "
6/8/2018,Won't You Be My Neighbor? 
6/15/2018,Incredibles 2
6/15/2018,Superfly
6/15/2018,Tag
6/15/2018,Gabriel and the Mountain 
6/15/2018,Gotti 
6/22/2018,Jurassic World: Fallen Kingdom
6/22/2018,Boundaries 
6/22/2018,The Catcher Was a Spy 
6/22/2018,Damsel 
6/22/2018,The King 
6/22/2018,Under the Silver Lake 
