Person,Total Gross,# Movies,Average,#1 Picture,Gross
Marlon Brando,$552.50 ,12,$46.00 ,The Godfather,$135.00 
Benjamin Bratt,"$1,053.10 ",21,$50.10 ,Despicable Me 2,$368.10 
Ewen Bremner,"$1,161.80 ",16,$72.60 ,Wonder Woman,$412.60 
Abigail Breslin,"$1,103.90 ",21,$52.60 ,Signs,$228.00 
Jordana Brewster,"$1,157.80 ",7,$165.40 ,Furious 7,$353.00 
Chris 'Ludacris' Bridges,"$1,495.60 ",13,$115.00 ,Furious 7,$353.00 
Jeff Bridges,"$1,786.30 ",53,$33.70 ,Iron Man,$318.40 
Jim Broadbent,"$1,155.60 ",45,$25.70 ,Harry Potter 6,$302.00 
Matthew Broderick,"$1,351.70 ",34,$39.80 ,Lion King,$422.80 
Adam Brody,$360.30 ,17,$21.20 ,Mr. & Mrs. Smith,$186.30 
Adrien Brody,$603.20 ,32,$18.90 ,King Kong,$218.10 
Josh Brolin,"$2,069.80 ",37,$55.90 ,Avengers: Age of Ultron,$459.00 
Albert Brooks,"$1,208.30 ",21,$57.50 ,Finding Dory,$486.30 
Pierce Brosnan,"$1,490.30 ",39,$38.20 ,Mrs. Doubtfire,$219.20 
Chris Brown,$269.40 ,6,$44.90 ,Think Like a Man,$91.50 
Emily Browning,$238.90 ,11,$21.70 ,Lemony Snicket,$118.60 
Sandra Bullock,"$2,462.60 ",35,$70.40 ,Minions,$336.00 
Billy Burke,"$1,719.70 ",15,$114.60 ,The Twilight Saga: Eclipse,$300.50 
Edward Burns,$370.30 ,13,$28.50 ,Saving Private Ryan,$216.50 
Ty Burrell,$444.90 ,10,$44.50 ,The Incredible Hulk,$134.80 
Gerard Butler,"$1,479.80 ",30,$49.30 ,How to Train Your Dragon,$217.60 
Amanda Bynes,$435.60 ,7,$62.20 ,Robots,$128.20 
Rose Byrne,"$1,569.90 ",26,$60.40 ,Bridesmaids,$169.10 
Nicolas Cage,"$2,407.10 ",57,$42.20 ,National Treasure: Book of Secrets,$220.00 
Michael Caine,"$3,437.70 ",60,$57.30 ,The Dark Knight,$534.90 
Neve Campbell,$432.80 ,12,$36.10 ,Scream,$103.00 
Steve Carell,"$2,987.80 ",29,$103.00 ,Despicable Me 2,$368.10 
Jim Carrey,"$2,545.40 ",28,$90.90 ,The Grinch,$260.00 
Helena Bonham Carter,"$2,824.80 ",37,$76.30 ,Harry Potter / Deathly Hallows (P2),$381.00 
Dana Carvey,$241.60 ,7,$34.50 ,Wayne's World,$121.70 
Katie Cassidy,$150.40 ,4,$37.60 ,Nightmare on Elm Street,$63.10 
James Caviezel,$748.30 ,21,$35.60 ,Passion of the Christ,$370.80 
Henry Cavill,"$1,097.20 ",11,$99.70 ,Batman v Superman,$330.40 
Cedric the Entertainer,"$1,509.20 ",28,$53.90 ,Madagascar 3,$216.40 
John Cena,$475.00 ,9,$52.80 ,Trainwreck,$110.20 
Michael Cera,$791.90 ,16,$49.50 ,The LEGO Batman Movie,$175.80 
Jackie Chan,"$1,738.40 ",32,$54.30 ,Rush Hour 2,$226.20 
Jay Chandrasekhar,$25.50 ,2,$12.80 ,Super Troopers 2,$25.50 
Jessica Chastain,"$1,190.00 ",20,$59.50 ,The Martian,$228.40 
Don Cheadle,"$3,338.60 ",35,$95.40 ,Avengers: Age of Ultron,$459.00 
Cher,$373.10 ,11,$33.90 ,Moonstruck,$80.60 
Morris Chestnut,$648.40 ,15,$43.20 ,Identity Thief,$134.50 
Jay Chou,$105.30 ,2,$52.70 ,The Green Hornet,$98.80 
Erika Christensen,$203.50 ,11,$18.50 ,Flightplan,$89.70 
Hayden Christensen,$867.70 ,10,$86.80 ,Revenge of the Sith,$380.30 
Jamie Chung,$570.90 ,9,$63.40 ,The Hangover Part II,$254.50 
Thomas Haden Church,"$1,154.40 ",18,$64.10 ,Spider-Man 3,$336.50 
Jemaine Clement,$745.10 ,14,$53.20 ,Moana,$248.80 
George Clooney,"$2,078.80 ",34,$61.10 ,Gravity,$274.10 
Glenn Close,"$1,378.60 ",33,$41.80 ,Guardians of the Galaxy,$333.20 
Sacha Baron Cohen,"$1,345.90 ",12,$112.20 ,Madagascar 3,$216.40 
Toni Collette,$970.40 ,38,$25.50 ,Sixth Sense,$293.50 
Lily Collins,$413.10 ,9,$45.90 ,The Blind Side,$256.00 
Sean 'P. Diddy' Combs,$126.40 ,4,$31.60 ,Get Him to the Greek,$61.00 
Common,"$1,292.90 ",19,$68.00 ,Suicide Squad,$325.10 
Jennifer Connelly,$947.30 ,33,$28.70 ,A Beautiful Mind,$170.70 
Sean Connery,"$1,550.60 ",37,$41.90 ,Indiana Jones and the Last Crusade,$197.20 
Steve Coogan,"$1,990.70 ",28,$71.10 ,Despicable Me 2,$368.10 
Sophie Cookson,$276.90 ,3,$92.30 ,Kingsman,$128.30 
Jennifer Coolidge,$551.60 ,14,$39.40 ,Legally Blonde,$96.50 
Bradley Cooper,"$3,400.60 ",27,$125.90 ,Avengers: Infinity War,$453.10 
Chris Cooper,"$1,671.00 ",35,$47.70 ,The Amazing Spider-Man 2,$202.90 
Dominic Cooper,$563.50 ,18,$31.30 ,Captain America,$176.70 
Sharlto Copley,$573.30 ,10,$57.30 ,Maleficent,$241.40 
Sofia Coppola,$66.70 ,1,$66.70 ,The Godfather Part III,$66.70 
John Corbett,$591.70 ,13,$45.50 ,My Big Fat Greek Wedding,$241.40 
Abbie Cornish,$339.40 ,13,$26.10 ,Limitless,$79.20 
Kevin Costner,"$2,124.80 ",39,$54.50 ,Man of Steel,$291.00 
Marion Cotillard,"$1,183.30 ",20,$59.20 ,The Dark Knight Rises,$448.10 
Jai Courtney,$983.00 ,11,$89.40 ,Suicide Squad,$325.10 
Brian Cox,"$1,802.00 ",47,$38.30 ,X2: X-Men United,$214.90 
Courteney Cox,$579.50 ,14,$41.40 ,Bedtime Stories,$110.10 
Tony Cox,$546.90 ,10,$54.70 ,Oz The Great and Powerful,$234.90 
Daniel Craig,"$1,586.50 ",26,$61.00 ,Skyfall,$304.40 
Bryan Cranston,"$1,229.80 ",21,$58.60 ,Madagascar 3,$216.40 
Chace Crawford,$78.30 ,5,$15.70 ,What to Expect When You're Expecting,$41.20 
Amanda Crew,$177.80 ,7,$25.40 ,The Haunting in Connecticut,$55.40 
Russell Crowe,"$1,797.70 ",33,$54.50 ,Man of Steel,$291.00 
Billy Crudup,$968.30 ,27,$35.90 ,Justice League,$229.00 
Tom Cruise,"$3,777.50 ",39,$96.90 ,War of the Worlds,$234.30 
Penelope Cruz,$920.40 ,36,$25.60 ,Pirates of the Caribbean 4,$241.10 
Billy Crystal,"$1,358.60 ",19,$71.50 ,"Monsters, Inc.",$289.90 
Ice Cube,"$1,554.00 ",32,$48.60 ,22 Jump Street,$191.70 
Macaulay Culkin,$712.80 ,11,$64.80 ,Home Alone,$285.80 
Rory Culkin,$289.90 ,12,$24.20 ,Signs,$228.00 
Benedict Cumberbatch,"$2,230.10 ",17,$131.20 ,Avengers: Infinity War,$453.10 
Kaley Cuoco,$258.40 ,4,$64.60 ,Hop,$108.10 
Jamie Lee Curtis,"$1,064.40 ",33,$32.30 ,True Lies,$146.30 
John Cusack,"$1,157.60 ",49,$23.60 ,2012,$166.10 
Miley Cyrus,$321.90 ,4,$80.50 ,Bolt,$114.10 
Willem Dafoe,"$1,753.20 ",56,$31.30 ,Spider-Man,$403.70 
Matt Damon,"$3,189.30 ",42,$75.90 ,The Martian,$228.40 
Claire Danes,$552.80 ,23,$24.00 ,Terminator 3,$150.40 
Anthony Daniels,"$4,040.90 ",9,$449.00 ,Star Wars: The Force Awakens,$936.70 
Paul Dano,$601.60 ,26,$23.10 ,Cowboys & Aliens,$100.20 
Alexa Davalos,$278.70 ,5,$55.70 ,Clash of the Titans,$163.20 
Jack Davenport,"$1,168.00 ",9,$129.80 ,Dead Man's Chest,$423.30 
Viola Davis,"$1,315.90 ",25,$52.60 ,Suicide Squad,$325.10 
Rosario Dawson,"$1,110.60 ",38,$29.20 ,Men in Black II,$190.40 
Charlie Day,$700.50 ,9,$77.80 ,The LEGO Movie,$257.80 
Daniel Day-Lewis,$544.60 ,16,$34.00 ,Lincoln,$182.20 
Brian De Palma,$165k,1,$165k,De Palma,$165k
Emilie de Ravin,$64.00 ,4,$16.00 ,The Hills Have Eyes,$41.80 
Elizabeth Debicki,$739.50 ,7,$105.60 ,Guardians of the Galaxy 2,$389.80 
Brooklyn Decker,$209.90 ,5,$42.00 ,Just Go With It,$103.00 
Ellen DeGeneres,$912.60 ,6,$152.10 ,Finding Dory,$486.30 
Dane DeHaan,$345.30 ,10,$34.50 ,The Amazing Spider-Man 2,$202.90 
Thomas Dekker,$112.40 ,5,$22.50 ,Nightmare on Elm Street,$63.10 
Benicio Del Toro,"$2,021.80 ",33,$61.30 ,Star Wars: The Last Jedi,$620.20 
Cara Delevigne,$400.70 ,4,$100.20 ,Suicide Squad,$325.10 
Julie Delpy,$80.50 ,16,$5.00 ,American Werewolf in Paris,$26.60 
Judi Dench,"$1,952.10 ",35,$55.80 ,Skyfall,$304.40 
Robert DeNiro,"$3,233.70 ",81,$39.90 ,Meet the Fockers,$279.30 
Kat Dennings,$672.20 ,11,$61.10 ,Thor: The Dark World,$206.40 
Johnny Depp,"$3,685.20 ",48,$76.80 ,Dead Man's Chest,$423.30 
Eugenio Derbez,$388.50 ,11,$35.30 ,Beverly Hills Chihuahua,$94.50 
Zooey Deschanel,$951.20 ,26,$36.60 ,Elf,$173.40 
Adam DeVine,$359.40 ,4,$89.80 ,Pitch Perfect 2,$184.30 
Danny DeVito,"$1,829.00 ",46,$39.80 ,The Lorax,$214.00 
Jenna Dewan-Tatum,$100.50 ,4,$25.10 ,Step Up,$65.30 
Rosemarie DeWitt,$164.50 ,15,$11.00 ,The Odd Life of Timothy Green,$51.90 
Prabhu Dheva,$892k,1,$892k,ABCD (Any Body Can Dance) 2,$892k
Cameron Diaz,"$3,031.70 ",34,$89.20 ,Shrek 2,$441.20 
Leonardo DiCaprio,"$2,519.00 ",25,$100.80 ,Titanic,$659.40 
Vin Diesel,"$3,267.10 ",23,$142.00 ,Avengers: Infinity War,$453.10 
Matt Dillon,$856.00 ,39,$21.90 ,Something About Mary,$176.50 
Snoop Dogg,$281.40 ,8,$35.20 ,Starsky and Hutch,$88.20 
Martin Donovan,$186.20 ,21,$8.90 ,Insomnia,$67.40 
Portia Doubleday,$88.60 ,4,$22.20 ,"Big Mommas: Like Father, Like Son",$37.90 
Michael Douglas,"$1,776.90 ",36,$49.40 ,Ant-Man,$180.20 
"Robert Downey, Jr.","$4,734.70 ",55,$86.10 ,The Avengers,$623.40 
David Duchovny,$285.60 ,19,$15.00 ,X-Files,$83.90 
Hilary Duff,$402.30 ,10,$40.20 ,Cheaper by the Dozen,$138.60 
Josh Duhamel,"$1,506.90 ",15,$100.50 ,Transformers 2,$402.10 
Clark Duke,$466.90 ,10,$46.70 ,The Croods,$187.20 
Michael Clarke Duncan,"$1,201.70 ",21,$57.20 ,Armageddon,$201.60 
Kirsten Dunst,"$1,940.70 ",34,$57.10 ,Spider-Man,$403.70 
Jay Duplass,$8.10 ,3,$2.70 ,Beatriz At Dinner,$7.10 
Mark Duplass,$118.20 ,6,$19.70 ,Tammy,$84.50 
Robert Duvall,"$1,814.40 ",55,$33.00 ,Deep Impact,$140.50 
Michael Ealy,$645.60 ,13,$49.70 ,Think Like a Man,$91.50 
Clint Eastwood,"$1,710.90 ",46,$37.20 ,Gran Torino,$148.10 
Aaron Eckhart,"$1,450.30 ",31,$46.80 ,The Dark Knight,$534.90 
Zac Efron,"$1,206.90 ",21,$57.50 ,The Lorax,$214.00 
Taron Egerton,$518.40 ,6,$86.40 ,Sing,$270.40 
Colin Egglesfield,$39.10 ,2,$19.60 ,Something Borrowed,$39.00 
Jesse Eisenberg,"$1,221.80 ",27,$45.30 ,Batman v Superman,$330.40 
Chiwetel Ejiofor,"$1,168.70 ",20,$58.40 ,Doctor Strange,$232.60 
Idris Elba,"$3,462.60 ",32,$108.20 ,Avengers: Age of Ultron,$459.00 
Ansel Elgort,$616.00 ,7,$88.00 ,Divergent,$150.90 
Sam Elliott,$718.80 ,23,$31.30 ,Hulk,$132.20 
Cary Elwes,"$1,297.80 ",30,$43.30 ,Twister,$241.70 
Mireille Enos,$263.30 ,3,$87.80 ,World War Z,$202.40 
Omar Epps,$403.90 ,17,$23.80 ,Scream 2,$101.40 
Chris Evans,"$2,935.80 ",25,$117.40 ,The Avengers,$623.40 
Luke Evans,"$1,509.70 ",12,$125.80 ,Beauty and the Beast,$504.00 
Alice Eve,$567.50 ,16,$35.50 ,Star Trek Into Darkness,$228.80 
Dakota Fanning,"$1,408.20 ",24,$58.70 ,The Twilight Saga: Eclipse,$300.50 
Elle Fanning,$686.40 ,18,$38.10 ,Maleficent,$241.40 
Anna Faris,"$1,531.20 ",23,$66.60 ,Alvin and the Chipmunks 2,$219.60 
Chris Farley,$129.70 ,6,$21.60 ,Tommy Boy,$32.70 
Vera Farmiga,$814.00 ,25,$32.60 ,The Conjuring,$137.40 
Colin Farrell,"$1,363.90 ",36,$37.90 ,Fantastic Beasts and Where To Find Them,$234.00 
Michael Fassbender,"$1,286.40 ",27,$47.60 ,X-Men: Days of Future Past,$233.90 
Jon Favreau,"$1,679.40 ",19,$88.40 ,Iron Man 3,$409.00 
Rebecca Ferguson,$581.20 ,7,$83.00 ,M:I - Rogue Nation,$195.00 
Shiloh Fernandez,$102.50 ,7,$14.60 ,Evil Dead (2013),$54.20 
Will Ferrell,"$2,296.50 ",33,$69.60 ,The LEGO Movie,$257.80 
America Ferrera,$574.60 ,14,$41.00 ,How to Train Your Dragon,$217.60 
Tina Fey,$640.80 ,11,$58.30 ,Megamind,$148.40 
Sally Field,"$2,075.60 ",28,$74.10 ,Forrest Gump,$330.30 
Ralph Fiennes,"$2,903.10 ",37,$78.50 ,Harry Potter / Deathly Hallows (P2),$381.00 
Jessica Brown Findlay,$18.40 ,2,$9.20 ,Winter's Tale,$12.60 
Colin Firth,"$1,229.10 ",34,$36.10 ,Mamma Mia!,$144.10 
Jenna Fischer,$226.10 ,10,$22.60 ,Blades of Glory,$118.60 
Laurence Fishburne,"$2,411.60 ",39,$61.80 ,Batman v Superman,$330.40 
Carrie Fisher,"$2,878.70 ",18,$159.90 ,Star Wars: The Force Awakens,$936.70 
Isla Fisher,"$1,134.80 ",18,$63.00 ,Wedding Crashers,$209.30 
Dan Fogler,$589.50 ,12,$49.10 ,Fantastic Beasts and Where To Find Them,$234.00 
Harrison Ford,"$4,963.80 ",42,$118.20 ,Star Wars: The Force Awakens,$936.70 
Will Forte,$546.00 ,14,$39.00 ,The LEGO Movie,$257.80 
Ben Foster,$573.30 ,24,$23.90 ,Lone Survivor,$125.10 
Jodie Foster,"$1,051.80 ",26,$40.50 ,Silence of the Lambs,$130.70 
Megan Fox,"$1,098.90 ",10,$109.90 ,Transformers 2,$402.10 
Jamie Foxx,"$2,154.00 ",31,$69.50 ,The Amazing Spider-Man 2,$202.90 
Claire Foy,$40.80 ,4,$10.20 ,Season of the Witch,$24.80 
Cecile de France,$67.40 ,10,$6.70 ,Hereafter,$32.70 
Dave Franco,$926.40 ,11,$84.20 ,The LEGO Movie,$257.80 
James Franco,"$2,283.20 ",42,$54.40 ,Spider-Man,$403.70 
Brendan Fraser,"$1,105.60 ",29,$38.10 ,Mummy Returns,$202.00 
Martin Freeman,"$2,123.00 ",14,$151.60 ,Black Panther,$693.20 
Morgan Freeman,"$4,522.20 ",63,$71.80 ,The Dark Knight,$534.90 
Anna Friel,$169.40 ,11,$15.40 ,Limitless,$79.20 
Nick Frost,$443.70 ,12,$37.00 ,Snow White and the Huntsman,$155.30 
Josh Gad,"$1,487.40 ",15,$99.20 ,Beauty and the Beast,$504.00 
Gal Gadot,"$1,792.90 ",11,$163.00 ,Wonder Woman,$412.60 
Zach Galifianakis,"$1,638.00 ",21,$78.00 ,The Hangover,$277.30 
Kyle Gallner,$596.00 ,14,$42.60 ,American Sniper,$350.10 
Vincent Gallo,$5.10 ,8,$635k,Buffalo '66,$2.40 
James Gandolfini,$578.20 ,28,$20.60 ,Crimson Tide,$91.40 
Romola Garai,$134.40 ,11,$12.20 ,Atonement,$50.90 
Andrew Garfield,$663.50 ,12,$55.30 ,The Amazing Spider-Man,$262.00 
James Garner,$481.50 ,13,$37.00 ,Maverick,$101.60 
Jennifer Garner,"$1,041.40 ",24,$43.40 ,Juno,$143.50 
Sarah Michelle Gellar,$627.40 ,13,$48.30 ,Scooby-Doo,$153.30 
Richard Gere,"$1,413.90 ",44,$32.10 ,Pretty Woman,$178.40 
Ricky Gervais,$764.60 ,10,$76.50 ,Night at the Museum,$250.90 
Greta Gerwig,$184.60 ,18,$10.30 ,No Strings Attached,$70.70 
Paul Giamatti,"$1,904.50 ",46,$41.40 ,The Hangover Part II,$254.50 
Mel Gibson,"$2,217.90 ",35,$63.40 ,Signs,$228.00 
Tyrese Gibson,"$2,565.90 ",17,$150.90 ,Transformers 2,$402.10 
Cam Gigandet,$534.10 ,12,$44.50 ,Twilight,$192.80 
Karen Gillan,"$1,699.00 ",8,$212.40 ,Avengers: Infinity War,$453.10 
Terry Gilliam,$20.2k,1,$20.2k,Absolutely Anything,$20.2k
Brendan Gleeson,"$1,878.90 ",46,$40.80 ,Harry Potter / Goblet of Fire,$290.00 
Danny Glover,"$1,586.60 ",44,$36.10 ,2012,$166.10 
Jeff Goldblum,"$1,852.20 ",25,$74.10 ,Jurassic Park,$402.50 
Selena Gomez,$392.10 ,7,$56.00 ,Hotel Transylvania 2,$169.70 
Matthew Goode,$305.90 ,13,$23.50 ,Watchmen,$107.50 
"Cuba Gooding, Jr.","$1,335.00 ",28,$47.70 ,Pearl Harbor,$198.50 
John Goodman,"$2,230.90 ",40,$55.80 ,"Monsters, Inc.",$289.90 
Ginnifer Goodwin,$657.30 ,9,$73.00 ,Zootopia,$341.30 
Keith Gordon,$91.30 ,1,$91.30 ,Back to School,$91.30 
Zachary Gordon,$165.70 ,3,$55.20 ,Diary of a Wimpy Kid,$64.00 
Joseph Gordon-Levitt,"$1,578.60 ",34,$46.40 ,The Dark Knight Rises,$448.10 
Ryan Gosling,$754.00 ,22,$34.30 ,La La Land,$151.10 
Topher Grace,$796.00 ,13,$61.20 ,Spider-Man 3,$336.50 
Kelsey Grammer,$684.20 ,12,$57.00 ,Transformers 4,$245.40 
Hugh Grant,$970.90 ,29,$33.50 ,Notting Hill,$116.10 
Eva Green,$574.90 ,12,$47.90 ,Casino Royale,$167.40 
Seth Green,$962.80 ,20,$48.10 ,Goldmember,$213.30 
Ashley Greene,"$1,368.80 ",11,$124.40 ,The Twilight Saga: Eclipse,$300.50 
Clark Gregg,"$1,609.70 ",16,$100.60 ,The Avengers,$623.40 
Frank Grillo,"$1,304.50 ",16,$81.50 ,Captain America 3,$408.10 
Rupert Grint,"$2,390.50 ",13,$183.90 ,Harry Potter / Deathly Hallows (P2),$381.00 
Ioan Gruffudd,$631.30 ,15,$42.10 ,San Andreas,$155.20 
Christopher Guest,$182.80 ,2,$91.40 ,Night at the Museum II,$177.20 
Carla Gugino,"$1,419.10 ",26,$54.60 ,Night at the Museum,$250.90 
Ryan Guzman,$85.40 ,3,$28.50 ,The Boy Next Door,$35.40 
Jake Gyllenhaal,$933.20 ,27,$34.60 ,The Day After Tomorrow,$186.70 
Maggie Gyllenhaal,$976.90 ,26,$37.60 ,The Dark Knight,$534.90 
Lukas Haas,$443.20 ,22,$20.10 ,The Revenant,$183.60 
Tiffany Haddish,$174.00 ,4,$43.50 ,Girls Trip,$115.20 
Corey Haim,$141.10 ,10,$14.10 ,The Lost Boys,$32.20 
Jackie Earle Haley,$639.70 ,16,$40.00 ,Shutter Island,$128.00 
Rebecca Hall,$734.90 ,19,$38.70 ,Iron Man 3,$409.00 
Regina Hall,"$1,060.00 ",18,$58.90 ,Scary Movie,$157.00 
Mark Hamill,"$2,797.10 ",13,$215.20 ,Star Wars: The Force Awakens,$936.70 
Linda Hamilton,$332.30 ,6,$55.40 ,Terminator 2,$205.90 
Jon Hamm,$850.00 ,16,$53.10 ,Minions,$336.00 
Armie Hammer,$534.00 ,12,$44.50 ,Cars 3,$152.90 
Tom Hanks,"$4,605.70 ",48,$96.00 ,Toy Story 3,$415.00 
Tom Hardy,"$1,465.60 ",19,$77.10 ,The Dark Knight Rises,$448.10 
Woody Harrelson,"$3,052.00 ",56,$54.50 ,Catching Fire,$424.70 
Ed Harris,"$1,793.00 ",51,$35.20 ,National Treasure: Book of Secrets,$220.00 
Jamie Harris,$314.40 ,7,$44.90 ,Rise of the Planet of the Apes,$176.80 
Jared Harris,$851.50 ,27,$31.50 ,Sherlock Holmes 2,$186.80 
Naomie Harris,"$1,647.80 ",19,$86.70 ,Dead Man's Chest,$423.30 
Neil Patrick Harris,$836.00 ,15,$55.70 ,Gone Girl,$167.80 
Kevin Hart,"$1,922.00 ",23,$83.60 ,Jumanji (2017),$404.40 
Josh Hartnett,$679.00 ,20,$34.00 ,Pearl Harbor,$198.50 
Anne Hathaway,"$2,419.50 ",26,$93.10 ,The Dark Knight Rises,$448.10 
Rutger Hauer,$292.10 ,28,$10.40 ,Sin City,$74.10 
Ethan Hawke,$830.80 ,47,$17.70 ,Dead Poets Society,$95.90 
Sally Hawkins,$447.10 ,18,$24.80 ,Godzilla,$200.70 
Goldie Hawn,$665.40 ,18,$37.00 ,First Wives Club,$105.50 
Salma Hayek,"$1,092.50 ",22,$49.70 ,Grown Ups,$162.00 
Lena Headey,$554.30 ,22,$25.20 ,300,$210.60 
Amber Heard,$519.40 ,16,$32.50 ,Justice League,$229.00 
Jon Heder,$348.20 ,10,$34.80 ,Blades of Glory,$118.60 
Garrett Hedlund,$598.20 ,13,$46.00 ,Tron Legacy,$172.10 
Katherine Heigl,$785.40 ,18,$43.60 ,Knocked Up,$148.80 
Ed Helms,"$1,239.90 ",15,$82.70 ,The Hangover,$277.30 
Chris Hemsworth,"$2,836.80 ",18,$157.60 ,The Avengers,$623.40 
