Person,Total Gross,# Movies,Average,#1 Picture,Gross
Amy Adams,"$2,355.00 ",29,$81.20 ,Batman v Superman,$330.40 
Ben Affleck,"$2,517.80 ",39,$64.60 ,Batman v Superman,$330.40 
Casey Affleck,$911.50 ,23,$39.60 ,Interstellar,$188.00 
Dianna Agron,$132.20 ,5,$26.40 ,I Am Number Four,$55.10 
Jessica Alba,$952.30 ,24,$39.70 ,Fantastic Four (2005),$154.70 
Alan Alda,$753.00 ,22,$34.20 ,What Women Want,$182.80 
Joan Allen,$854.30 ,24,$35.60 ,The Bourne Ultimatum,$227.50 
Tim Allen,"$1,763.00 ",20,$88.10 ,Toy Story 3,$415.00 
Woody Allen,$461.30 ,27,$17.10 ,Antz,$90.80 
Mathieu Amalric,$300.70 ,13,$23.10 ,Quantum of Solace,$168.40 
Gillian Anderson,$146.80 ,14,$10.50 ,X-Files,$83.90 
Julie Andrews,$928.30 ,14,$66.30 ,Despicable Me 3,$264.60 
Jennifer Aniston,"$1,627.10 ",32,$50.80 ,Bruce Almighty,$242.80 
Aziz Ansari,$168.60 ,3,$56.20 ,Epic,$107.50 
Christina Applegate,"$1,117.10 ",21,$53.20 ,Alvin and the Chipmunks 2,$219.60 
Tom Arnold,$415.90 ,18,$23.10 ,True Lies,$146.30 
Rosanna Arquette,$396.90 ,21,$18.90 ,Pulp Fiction,$107.90 
Gemma Arterton,$517.40 ,13,$39.80 ,Quantum of Solace,$168.40 
Kevin Bacon,"$1,519.20 ",48,$31.70 ,Apollo 13,$173.80 
Penn Badgley,$134.60 ,6,$22.40 ,Easy A,$58.40 
Alec Baldwin,"$2,437.50 ",53,$46.00 ,Pearl Harbor,$198.50 
Christian Bale,"$2,245.70 ",38,$59.10 ,The Dark Knight,$534.90 
Eric Bana,"$1,068.30 ",17,$62.80 ,Star Trek,$257.70 
Anne Bancroft,$548.00 ,28,$19.60 ,The Graduate,$104.90 
Antonio Banderas,"$2,386.40 ",43,$55.50 ,Shrek 2,$441.20 
Elizabeth Banks,"$2,811.70 ",36,$78.10 ,Catching Fire,$424.70 
Javier Bardem,$722.30 ,17,$42.50 ,Skyfall,$304.40 
Ben Barnes,$287.70 ,5,$57.50 ,The Chronicles of Narnia: Prince Caspian,$141.60 
Drew Barrymore,"$1,614.60 ",36,$44.90 ,E.T.,$435.10 
Justin Bartha,"$1,134.00 ",12,$94.50 ,The Hangover,$277.30 
Jay Baruchel,"$1,074.40 ",18,$59.70 ,How to Train Your Dragon,$217.60 
Kim Basinger,"$1,185.50 ",36,$32.90 ,Batman,$251.20 
Angela Bassett,"$1,574.50 ",26,$60.60 ,Black Panther,$693.20 
Jason Bateman,"$1,960.60 ",32,$61.30 ,Zootopia,$341.30 
Kathy Bates,"$2,331.20 ",48,$48.60 ,Titanic,$659.40 
Dave Bautista,"$1,510.30 ",7,$215.80 ,Avengers: Infinity War,$453.10 
Sean Bean,"$1,641.80 ",31,$53.00 ,Fellowship of the Ring,$315.50 
Warren Beatty,$312.20 ,9,$34.70 ,Dick Tracy,$103.70 
Kate Beckinsale,"$1,046.10 ",26,$40.20 ,Pearl Harbor,$198.50 
Ashley Bell,$56.20 ,2,$28.10 ,The Last Exorcism,$41.00 
Jamie Bell,$572.80 ,18,$31.80 ,King Kong,$218.10 
Kristen Bell,"$1,035.20 ",19,$54.50 ,Frozen,$400.70 
Lake Bell,$365.50 ,10,$36.50 ,It's Complicated,$112.70 
Maria Bello,$988.30 ,30,$32.90 ,Grown Ups,$162.00 
Monica Bellucci,"$1,027.90 ",16,$64.20 ,Passion of the Christ,$370.80 
Roberto Benigni,$88.90 ,11,$8.10 ,Life Is Beautiful,$57.60 
Annette Bening,$608.00 ,27,$22.50 ,American Beauty,$130.10 
Melissa Benoist,$50.50 ,2,$25.30 ,The Longest Ride,$37.40 
Peter Berg,$229.80 ,5,$46.00 ,Collateral,$101.00 
Gael Garcia Bernal,$316.80 ,23,$13.80 ,Coco,$209.70 
Halle Berry,"$1,987.80 ",32,$62.10 ,X-Men: The Last Stand,$234.40 
Paul Bettany,"$2,166.30 ",24,$90.30 ,Avengers: Age of Ultron,$459.00 
Justin Bieber,$79.20 ,2,$39.60 ,Justin Bieber,$73.00 
Jessica Biel,$772.90 ,24,$32.20 ,I Now Pronounce You Chuck and Larry,$120.10 
Rachel Bilson,$95.30 ,5,$19.10 ,Jumper,$80.20 
Mike Binder,$19.10 ,2,$9.50 ,The Upside of Anger,$18.80 
Jack Black,"$2,020.90 ",25,$80.80 ,Jumanji (2017),$404.40 
Lucas Black,$730.20 ,12,$60.80 ,Furious 7,$353.00 
Macon Blair,$9.40 ,3,$3.10 ,The Florida Project,$5.90 
Cate Blanchett,"$3,118.30 ",42,$74.20 ,Return of the King,$377.80 
Nikki Blonsky,$118.90 ,3,$39.60 ,Hairspray (2007),$118.90 
Orlando Bloom,"$2,988.40 ",18,$166.00 ,Dead Man's Chest,$423.30 
Emily Blunt,"$1,268.30 ",28,$45.30 ,A Quiet Place,$160.10 
Chadwick Boseman,"$1,719.00 ",7,$245.60 ,Black Panther,$693.20 
Kate Bosworth,$529.30 ,19,$27.90 ,Superman Returns,$200.10 
Sofia Boutella,$419.00 ,4,$104.80 ,Star Trek Beyond,$158.80 
John Boyega,"$1,654.20 ",6,$275.70 ,Star Wars: The Force Awakens,$936.70 
Luke Bracey,$171.00 ,5,$34.20 ,Hacksaw Ridge,$67.20 
Zach Braff,$281.70 ,6,$47.00 ,Oz The Great and Powerful,$234.90 
Kenneth Branagh,$919.30 ,19,$48.40 ,Harry Potter / Chamber of Secrets,$262.00 
Russell Brand,"$1,187.40 ",10,$118.70 ,Despicable Me 2,$368.10 
