,movieId,tmdbId,rating,Awards,Plot,Rated,Year,imdbVotes,Rating_RT,Movie_Name,Movie_Revenue,Movie_Date,Movie_Length,Movie_Budget,Movie_imdb_id,Movie_Genres,Movie_Companies,Movie_Actors,Movie_Keywords,Movie_Collection,Movie_Overview,Movie_Tagline,Movie_Director,Movie_Writer,Movie_Producer,Movie_VoteAvg,Movie_Rating_IMDB,Movie_Rating_Metacritic,TMDB_popularity,Delete
1310,,,,,,,2015,,,vaalu,12444,12/31/2015,,1900000,,[],[],[],[],[],,,[],[],[],,,,,1
1311,,,,,"The life of Frank Sinatra, as an actor and singer and the steps along the way that led him to become such an icon.",TV-PG,2015,161,,"to be frank, sinatra at 100",926,12/31/2015,81,2000000,,"['Documentary', 'Biography', 'History']",['Eyeline Entertainment'],"['Alice Cooper', 'Tony DeSare', 'Paul Gambaccini']",[],[],"The life of Frank Sinatra, as an actor and singer and the steps along the way that led him to become such an icon.",,['Simon Napier-Bell'],[],[],,6.5,,,0
1312,150258,174751,2.963636364,,A woman asks her ex-lover for help in order to save her outlaw husband from a gang out to kill him.,R,2015,17013,41%,jane got a gun,1397284,12/31/2015,98,25000000,2140037,"['Western', 'Action', 'Drama']","['Straight Up Films', '1821 Pictures', 'Scott Pictures', 'Handsomecharlie Films', 'Relativity Media', 'Unanimous Pictures']","['Natalie Portman', 'Joel Edgerton', 'Ewan McGregor', 'Noah Emmerich', 'Boyd Holbrook', 'Rodrigo Santoro', 'Alex Manette', 'Todd Stashwick', 'James Burnett', 'Sam Quinn', 'River Shields', 'Chad Brummett', 'Boots Southerland', 'Nash Edgerton', 'Robb Janov']",[],[],"After her outlaw husband returns home shot with eight bullets and barely alive, Jane reluctantly reaches out to an ex-lover who she hasn't seen in over ten years to help her defend her farm when the time comes that her husband's gang eventually tracks him down to finish the job.",,"[""Gavin O'Connor""]","['Brian Duffield', 'Anthony Tambakis', 'Joel Edgerton']","['Terry Dougas', 'Regency Boies', 'Scott Steindorff', 'Natalie Portman', 'Chris Coen', 'Scott LaStaiti', 'Aleen Keshishian']",5.438115632,5.9,49,11.06846267,1
1313,,,,,,,2015,,,?????,1391410,12/31/2015,,7000000,,[],[],[],[],[],,,[],[],[],,,,,1
1314,139855,291270,3.536900369,Nominated for 1 Oscar. Another 24 wins & 72 nominations.,A man crippled by the mundanity of his life experiences something out of the ordinary.,R,2015,50493,91%,anomalisa,5659286,12/30/2015,90,8000000,2401878,"['Romance', 'Comedy', 'Animation', 'Drama']","['Starburns Industries', 'Harmonius Claptrap', 'Snoot Entertainment']","['David Thewlis', 'Jennifer Jason Leigh', 'Tom Noonan']","['existentialism', 'sex', 'depression']",[],A man crippled by the mundanity of his life experiences something out of the ordinary.,Welcome to the Kaufman surreal-neorealism tale in a dull world of sameness.,"['Duke Johnson', 'Charlie Kaufman']",['Charlie Kaufman'],[],6.970518426,7.2,88,13.96246233,0
1315,139385,281957,3.774845996,Won 3 Oscars. Another 86 wins & 181 nominations.,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,R,2015,557790,80%,the revenant,532950503,12/25/2015,156,135000000,1663202,"['Drama', 'Thriller', 'Adventure', 'Western', 'History']","['Monarchy Enterprises S.a.r.l.', 'CatchPlay', 'RatPac Entertainment', 'Appian Way', '20th Century Fox', 'Anonymous Content', 'M Productions', 'New Regency Pictures', 'Regency Enterprises', 'Hong Kong Alpha Motion Pictures Co.', 'RatPac-Dune Entertainment']","['Leonardo DiCaprio', 'Tom Hardy', 'Will Poulter', 'Domhnall Gleeson', 'Paul Anderson', 'Brad Carter', 'Kristoffer Joner', 'Lukas Haas', 'Brendan Fletcher', 'Joshua Burge', 'Robert Moloney', 'Grace Dove', 'Timothy Lyle', 'Kory Grim', 'Forrest Goodluck', 'Duane Howard', 'Arthur RedCloud', 'Vincent Leclerc', 'Emmanuel Bilodeau']","['mountain', 'father son relationship', 'bear attack', 'bear', 'rape', 'snow', 'murder', 'violence', 'grizzly bear', 'fur trapper', 'frontier', 'based on novel', 'revenge', 'based on true events', 'winter', 'wilderness', 'mountains', 'survival', 'native american', 'animal death', 'death of son']",[],"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.","(n. One who has returned, as if from the dead.)","['Alejandro Gonz·lez IÒ·rritu', 'Alejandro G. IÒ·rritu']","['Michael Punke', 'Alejandro G. IÒ·rritu', 'Mark L. Smith']","['Steve Golin', 'Mary Parent', 'James W. Skotchdopole', 'Keith Redmon', 'David Kanter', 'Arnon Milchan']",7.339520986,8,76,49.17426133,0
1316,,,,,,,2015,,,daddy¬ís home,242757137,12/25/2015,,50000000,,[],[],[],[],[],,,[],[],[],,,,,1
1317,149352,274167,3.120731707,1 win & 4 nominations.,"Brad Whitaker is a radio host trying to get his stepchildren to love him, and call him Dad. But his plans turn upside down when their biological father, Dusty Mayron, returns.",PG-13,2015,84388,31%,daddy's home,242786137,12/25/2015,96,50000000,1528854,['Comedy'],"['Gary Sanchez Productions', 'Red Granite Pictures', 'Paramount Pictures', 'Paramount']","['Will Ferrell', 'Mark Wahlberg', 'Linda Cardellini', 'Thomas Haden Church', 'Scarlett Estevez', 'Owen Vaccaro', 'Bobby Cannavale', 'Hannibal Buress', 'John Cena', 'Alessandra Ambrosio', 'Didi Costine', 'Bill Burr', 'Jamie Denbo', 'LaMonica Garrett', 'Paul Scheer', 'Kerry Cahill', 'Mark L. Young', 'Olivia Renee Dupepe', 'Billy Slaughter', 'Dave Davis', 'James Harlon Palmer']",['daddys home'],"[""Daddy's Home Collection""]","The story of a mild-mannered radio executive (Ferrell) who strives to become the best stepdad ever to his wife's two children, but complications ensue when their freewheeling, freeloading real father arrives, forcing stepdad to compete for the affection of the kids.",Choose your Daddy,['Sean Anders'],"['Adam McKay', 'Sean Anders', 'Chris Henchy', 'John Morris', 'Brian Burns']","['Chris Henchy', 'Adam McKay', 'Will Ferrell', 'John Morris']",5.842321847,6.1,42,19.31190067,0
1318,143476,352208,3.722222222,3 wins & 13 nominations.,"To learn what the USA can learn from other nations, Michael Moore playfully ""invades"" them to see what they have to offer.",R,2015,19300,79%,where to invade next,4468013,12/23/2015,120,,4897822,"['Comedy', 'Documentary']","['IMG Films', 'Dog Eat Dog Films']","['Michael Moore', 'Krista Kiuru', 'Tim Walker', 'Johnny Fancelli', 'Christina Fancelli', 'Lorena Lardini']","['germany', 'norway', 'usa', 'revolution', 'welfare', 'tunisia', 'france', 'africa', 'working class', 'political', 'infotainment', 'political satire', 'europe', 'slovenia', 'portugal', 'italy', 'iceland', 'inequality', 'finland', 'welfare states', 'economic inequality']",[],"Academy Award-winning director Michael Moore returns with what may be his most provocative and hilarious film yet: Moore tells the Pentagon to ""stand down"" ‚Äî he will do the invading for America from now on.",Prepare to be liberated,['Michael Moore'],['Michael Moore'],"['Carl Deal', 'Michael Moore', 'Tia Lessin']",7.356160458,7.6,64,6.2456435,0
1319,,,,,,,2015,,,star wars ep. vii: the force awakens,2058662225,12/18/2015,,306000000,,[],[],[],[],[],,,[],[],[],,,,,1
