,movieId,tmdbId,rating,Awards,Plot,Rated,Year,imdbVotes,Rating_RT,Movie_Name,Movie_Revenue,Movie_Date,Movie_Length,Movie_Budget,Movie_imdb_id,Movie_Genres,Movie_Companies,Movie_Actors,Movie_Keywords,Movie_Collection,Movie_Overview,Movie_Tagline,Movie_Director,Movie_Writer,Movie_Producer,Movie_VoteAvg,Movie_Rating_IMDB,Movie_Rating_Metacritic,TMDB_popularity,Delete
0,,,,,"A small group of former classmates organize an elaborate, annual game of tag that requires some to travel all over the country.",R,2018,9959,55%,tag,71249175,6/15/2018,100,28000000,2854926,['Comedy'],"['Broken Road Productions', 'New Line Cinema']","['Jeremy Renner', 'Ed Helms', 'Jake Johnson']","['tag the game', 'friendship', 'friend', 'drink']",[],"A small group of former classmates organize an elaborate, annual game of tag that requires some to travel all over the country.",Based on a True Story. We're Not Kidding.,['Jeff Tomsic'],"['Mark Steilen', 'Rob McKittrick']","['Richard Brener', 'Todd Garner']",,6.9,56,,0
1,,,,,The movie is a remake of the 1972 blaxploitation film 'Super Fly'.,R,2018,1100,51%,superfly,20480302,6/15/2018,116,16000000,7690670,"['Crime', 'Action', 'Thriller']","['Columbia Pictures', 'Silver Pictures', 'Sony Pictures Entertainment']","['Jennifer Morrison', 'Trevor Jackson', 'Lex Scott Davis', 'Michael Kenneth Williams']",[],[],"When Priest, a young but experienced coke dealer in Atlanta, realizes it's time to get out of the trade, he risks it all on one last score. Double-crossing his mentor, Priest heads to Mexico to connect with the cartel that serves as the source of his product.",Redefine The Hustle,['Director X.'],"['Phillip Fenty', 'Alex Tse']","['Future', 'Matthew Hirsch']",,5.1,52,,0
2,,,,,Bob Parr (Mr. Incredible) is left to care for Jack-Jack while Helen (Elastigirl) is out saving the world.,PG,2018,49234,93%,incredibles 2,951507145,6/15/2018,118,200000000,3606756,"['Action', 'Adventure', 'Animation']",['Disney/Pixar'],"['Samuel L. Jackson', 'Sophia Bush', 'Holly Hunter', 'Jonathan Banks']","['computer animation', 'superheroine', 'superhero']",['Incredibles'],"While the Parr family has accepted its collective calling as superheroes, the fact remains that their special heroism is still illegal. After they are arrested after unsuccessfully trying to stop the Underminer, their future seems bleak. However, the wealthy Deavor siblings of Devtech offer new hope with a bold project to rehabilitate the public image and legal status of Supers, with Elastigirl being assigned on point to be the shining example. Now having agreed for now to stay at home to care of the kids, Mr. Incredible finds domestic life a daunting challenge, especially with baby Jack-Jack's newly emerged powers making him almost impossible to manage. However, Elastigirl soon has her own concerns dealing with the menace of a new supervillain, Screenslaver, who is wreaking havoc with his mind control abilities. Now, Elastigirl must solve the mystery of this enemy, who has malevolent designs on the world with the Parr family and friends key targets of this evil.",Suit up,['Brad Bird'],['Brad Bird'],"['Nicole Paradis Grindle', 'John Lasseter']",,8.3,80,,0
3,,,,,The story of crime boss John Gotti and his son.,R,2018,2452,0%,gotti,4343227,6/15/2018,105,10000000,1801552,"['History', 'Crime', 'Drama']","['Highland Film Group (HFG)', 'Michael Fiore Films', 'Emmett Furla Oasis Films (EFO Films)', 'Lionsgate Premiere']","['John Travolta', 'Spencer Rocco Lofranco', 'Kelly Preston']","['terminal illness', 'funeral', 'betrayal', 'loyalty']",[],"John Gotti rises to the top of the New York underworld to become the boss of the Gambino crime family. His life takes a tumultuous turn as he faces tragedy, multiple trials and a prison sentence.",A real American godfather,['Kevin Connolly'],"['Lem Dobbs', 'Leo Rossi']","['Noel Ashman', 'Scott Atkins']",0,4.7,24,7.010929,0
4,,,,4 wins & 4 nominations.,"An exploration of the life, lessons, and legacy of iconic children's television host, Fred Rogers.",PG-13,2018,2919,99%,won't you be my neighbor?,19343937,6/8/2018,94,,7681902,"['Documentary', 'Biography']",['Focus Features'],"['Joanne Rogers', 'McColm Cephas Jr.', 'Francois Scarborough Clemmons', 'Kailyn Davis']","['tv show host', 'public broadcasting', 'race relations', 'tolerance', 'kindness']",[],"An exploration of the life, lessons, and legacy of iconic children's television host, Fred Rogers.",A little kindness makes a world of difference,['Morgan Neville'],[],"['Emma Baiada', 'Leslie Berriman']",,8.7,85,,0
5,,,,2 wins & 1 nomination.,Debbie Ocean gathers a crew to attempt an impossible heist at New York City's yearly Met Gala.,PG-13,2018,33577,67%,ocean's 8,266337915,6/8/2018,110,70000000,5164214,"['Comedy', 'Crime', 'Action']",['Warner Bros. Pictures'],"['Sandra Bullock', 'Cate Blanchett', 'Anne Hathaway']","['diamond heist', 'heist', 'release from prison', 'museum', 'women']",['Oceans collection'],"Danny Ocean's estranged sister Debbie attempts to pull off the heist of the century at New York City's star-studded annual Met Gala. Her first stop is to assemble the perfect all-female crew: Lou, Rose, Daphne Kluger, Nine Ball, Tammy, Amita, and Constance.",The plan is priceless,['Gary Ross'],"['Olivia Milch', 'George Clayton Johnson', 'Gary Ross', 'Jack Golden Russell']","['Diana Alvarez', 'Bruce Berman']",,6.4,61,,0
6,,,,1 win & 1 nomination.,"Nancy becomes increasingly convinced she was kidnapped as a child. When she meets a couple whose daughter went missing thirty years ago, reasonable doubts give way to willful belief.",NOT RATED,2018,130,81%,nancy,80115,6/8/2018,87,,6509058,"['Thriller', 'Mystery']",['Gamechanger Films'],"['Andrea Riseborough', 'Steve Buscemi', 'Ann Dowd']",[],[],"Nancy becomes increasingly convinced she was kidnapped as a child. When she meets a couple whose daughter went missing thirty years ago, reasonable doubts give way to willful belief.",,['Christina Choe'],['Christina Choe'],"['Barbara Broccoli', 'Michelle Cameron']",,6.5,67,3.854288,0
7,,,,,"Set in riot-torn, near-future Los Angeles, 'Hotel Artemis' follows the Nurse, who runs a secret, members-only emergency room for criminals.",R,2018,3268,56%,hotel artemis,11523536,6/8/2018,93,15000000,5834262,"['Thriller', 'Science Fiction']","['Point of No Return', 'The Ink Factory', 'Marc Platt Productions']","['Jodie Foster', 'Sofia Boutella', 'Dave Bautista']",[],[],"A near-future thriller, set in its own distinctive crime universe, ""Hotel Artemis"" follows a nurse who runs an underground hospital for Los Angeles' most sinister criminals, and finds that one of her patients is actually there to assassinate another.",No guns. No cops. No killing the other patients.,['Drew Pearce'],['Drew Pearce'],"['Simon Cornwell', 'Stephen Cornwell']",4,6.3,57,20.253681,0
8,,,,3 nominations.,"When the matriarch of the Graham family passes away, her daughter's family begins to unravel cryptic and increasingly terrifying secrets about their ancestry.",R,2018,36970,100%,hereditary,77585914,6/8/2018,127,10000000,7784604,"['Horror', 'Mystery', 'Drama']",['A24'],"['Toni Collette', 'Gabriel Byrne', 'Alex Wolff', 'Milly Shapiro']","['anaphylaxis', 'decapitation', 'decomposed body', 'psychological horror']",[],"When the matriarch of the Graham family passes away, her daughter's family begins to unravel cryptic and increasingly terrifying secrets about their ancestry.",Every family tree hides a secret.,['Ari Aster'],['Ari Aster'],"['Gabriel Byrne', 'Tyler Campellone']",,7.6,87,,0
9,,,,2 wins & 2 nominations.,A father and daughter form an unlikely songwriting duo in the summer before she leaves for college.,PG-13,2018,787,90%,hearts beat loud,2254845,6/8/2018,97,2000000,715843,"['Music', 'Drama']","['Burn Later Productions', 'Houston King Productions', 'Park Pictures']","['Nick Offerman', 'Kiersey Clemons', 'Ted Danson']",[],[],A father and his daughter form a songwriting team during the summer before she leaves for college.,Music runs in the family.,['Brett Haley'],"['Brett Haley', 'Marc Basch']","['David Bernon', 'Paul Bernon']",,7,67,17.664584,0
