,movieId,tmdbId,rating,Awards,Plot,Rated,Year,imdbVotes,Rating_RT,Movie_Name,Movie_Revenue,Movie_Date,Movie_Length,Movie_Budget,Movie_imdb_id,Movie_Genres,Movie_Companies,Movie_Actors,Movie_Keywords,Movie_Collection,Movie_Overview,Movie_Tagline,Movie_Director,Movie_Writer,Movie_Producer,Movie_VoteAvg,Movie_Rating_IMDB,Movie_Rating_Metacritic,TMDB_popularity,Delete
4375,,,,,,,2007,,,arn - tempelriddaren,21404122,12/31/2007,,16500000,,[],[],[],[],[],,,[],[],[],,,,,0
4376,,,,,,,2007,,,alatriste,22860477,12/31/2007,,28000000,,[],[],[],[],[],,,[],[],[],,,,,0
4377,56782,7345,3.962492981,Won 2 Oscars. Another 106 wins & 136 nominations.,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",R,2007,"430,945",91%,there will be blood,77208711,12/26/2007,158,25000000,469494,['Drama'],"['Ghoulardi Film Company', 'Paramount Vantage', 'Miramax Films']","['Daniel Day-Lewis', 'Paul Dano', 'Dillon Freasier', 'Ciarán Hinds', ""Kevin J. O'Connor"", 'Hope Elizabeth Reeves', 'Colleen Foy', 'Barry Del Sherman', 'David Willis', 'Hans Howes', 'Sydney McCallister', 'Paul F. Tompkins', 'Kevin Breznahan', 'Jim Meskimen', 'Erica Sullivan', 'Randall Carver', 'James Downey', 'David Warshofsky', 'Charles Thomas Doyle', 'Russell Harvard', 'Mary Elizabeth Barrett', 'Brad Carr', 'Rhonda Reeves', 'Beau Smith', 'Martin Stringer', 'Matthew Braden Stringer', 'Jacob Stringer']","['brother brother relationship', 'killer', 'father', 'step father', 'money', 'pipeline', 'petrol', 'alcoholic', 'deaf-mute', 'american dream', 'fanatic', 'oil']",[],"When ruthless oil prospector, Daniel Plainview learns of oil-rich land in California that can be bought cheaply, he moves his operation there and begins manipulating and exploiting the local landowners into selling him their property. Using his young adopted son to project the image of a caring family man, Plainview gains the cooperation of almost all the locals with lofty promises to build schools and cultivate the land to make their community flourish. Over time, Plainview's gradual accumulation of wealth and power causes his true self to surface, and he begins to slowly alienate himself from everyone in his life.",There Will Be Greed. There Will Be Vengeance.,['Paul Thomas Anderson'],"['Paul Thomas Anderson', 'Upton Sinclair']","['Paul Thomas Anderson', 'JoAnne Sellar', 'Daniel Lupi']",7.940823686,8.1,93,18.25384333,0
4378,,,,,,,2007,,,the water horse: legend of the deep,103429755,12/25/2007,,40000000,,[],[],[],[],[],,,[],[],[],,,,,0
4379,56915,54318,3.151226158,6 nominations.,A lonely boy discovers a mysterious egg that hatches a sea creature of Scottish legend.,PG,2007,"34,123",,the water horse,103071443,12/25/2007,112,40000000,760329,"['Fantasy', 'Adventure', 'Family']","['Walden Media', 'Revolution Studios', 'Ecosse Films', 'Beacon Pictures']","['Alexander Nathan Etel', 'Emily Watson', 'Ben Chaplin', 'David Morrissey', 'Priyanka Xi', 'Craig Hall', 'Brian Cox', 'Erroll Shand', 'Joel Tobeck', 'Bruce Allpress', 'Geraldine Brophy', 'Eddie Campbell', 'Peter Corrigan', 'Carl Dixon', 'Nathan Christopher Haase', 'Ian Harcourt', 'Rex Hurst', 'Megan Katherine', 'Elliot Lawless', 'William Johnson']",[],[],A lonely boy discovers a mysterious egg that hatches a sea creature of Scottish legend.,How Do You Keep A Secret This Big?,['Jay Russell'],"['Robert Nelson Jacobs', 'Dick King-Smith']",[],6.35652819,6.5,71,6.388177,0
4380,56885,14047,3.714733542,Nominated for 1 Golden Globe. Another 11 wins & 9 nominations.,"A drama based on the true story of Melvin B. Tolson, a professor at Wiley College Texas. In 1935, he inspired students to form the school's first debate team, which went on to challenge Harvard in the national championship.",PG-13,2007,"51,244",,the great debaters,30261293,12/25/2007,126,15000000,427309,"['Biography', 'Romance', 'Drama']","['Harpo Films', 'Marshall Production', 'The Weinstein Company']","['Denzel Washington', 'Nate Parker', 'Forest Whitaker', 'Denzel Whitaker', 'Kimberly Elise', 'Jermaine Williams', 'Gina Ravera', 'John Heard', 'Devyn A. Tyler', 'Trenton McClain Boyd', 'Ritchie Montgomery', 'Jackson Walker', 'Tim Parati', 'Robert X. Golphin', 'Justice Leak', 'Glen Powell', 'Brad Watkins', 'Brian Smiar', 'Damien Leake', 'Voltaire Sterling', 'Stephen Rider', 'Gordon Danniels', 'Donny Boaz', 'Samuel Elliott Whisnant', 'Bonnie Johnson', 'Charissa Allen', 'Michael Beasley', 'Gary Mathis', 'Georges Wilson', 'Fahnlohnee R. Harris', 'Harold Evans', 'J.D. Evermore', 'Sharon Jones', 'Kelvin Payton', 'Southey Blanton', 'Michael Mattison', 'Jeff Braun', 'Milton R. Gipson', 'Frank Ridley', 'Jeremiah Kissel', 'Jack Radosta', 'Alvin Youngblood Hart', 'Dom Flemons', 'Justin Robinson', 'Rhiannon Giddens', 'Ahmad Powell', 'Marcus Lyle Brown', 'Jurnee Smollett', 'Gary Mattis', 'Jurnee Smollett-Bell']",['biography'],[],The true story of a brilliant but politically radical debate team coach who uses the power of words to transform a group of underdog African American college students into an historical powerhouse that took on the Harvard elite.,"When the nation was in need, he inspired them to give us hope.",['Denzel Washington'],"['Jeffrey Porro', 'Robert Eisele', 'Tony Scherman']","['Joe Roth', 'Kate Forte', 'Oprah Winfrey', 'Todd Black']",6.980550098,7.6,65,11.367995,0
4381,56587,7350,3.589567211,3 wins & 4 nominations.,Two terminally ill men escape from a cancer ward and head off on a road trip with a wish list of to-dos before they die.,PG-13,2007,"204,539",40%,the bucket list,175372502,12/25/2007,97,45000000,825232,"['Adventure', 'Drama', 'Comedy']","['Warner Bros. Pictures', 'Reiner / Greisman Productions', 'Two Ton Films', 'Zadan / Meron Productions']","['Jack Nicholson', 'Morgan Freeman', 'Sean Hayes', 'Beverly Todd', 'Alfonso Freeman', 'Rowena King', 'Rob Morrow', 'Annton Berry Jr.', 'Verda Bridges', 'Destiny Brownridge', 'Brian Copeland', 'Ian Anthony Dale', 'Jennifer Defrancisco', 'Angela Gardner', 'Noel Gugliemi', 'Jonathan Hernandez', 'Karen Maruyama', 'Amber Mead', 'Serena Reeder', 'Christopher Stapleton', 'Taylor Ann Thompson', 'Dawn Lewis']","['wish', 'wife husband relationship', 'journey round the world', 'terminal illness', 'father daughter relationship', 'elderly', 'billionaire', 'africa', 'taj mahal', 'sense of life', 'estranged father', 'dying and death', 'safari', 'bucket list', 'himalaya', 'male friendship', 'brain tumor']",[],"Corporate billionaire Edward Cole and working class mechanic Carter Chambers are worlds apart. At a crossroads in their lives, they share a hospital room and discover they have two things in common: a desire to spend the time they have left doing everything they ever wanted to do and an unrealized need to come to terms with who they are. Together they embark on the road trip of a lifetime, becoming friends along the way and learning to live life to the fullest, with insight and humor.",Find the joy.,['Rob Reiner'],['Justin Zackham'],"['Neil Meron', 'Rob Reiner', 'Alan Greisman', 'Craig Zadan']",7.038952226,7.4,42,15.224783,0
4382,,,,,,,2007,,,aliens vs. predator - requiem,128884494,12/25/2007,,40000000,,[],[],[],[],[],,,[],[],[],,,,,0
4383,56801,440,2.439949109,4 nominations.,"Warring Alien and Predator races descend on a rural Colorado town, where unsuspecting residents must band together for any chance of survival.",R,2007,"102,168",11%,aliens vs predator: requiem,41797066,12/25/2007,94,40000000,75873,"['Horror', 'Action', 'Sci-Fi', 'Fantasy', 'Thriller', 'Science Fiction']","['Twentieth Century Fox Film Corporation', '20th Century Fox', 'Dune Entertainment', 'Brandywine Productions', 'Davis Entertainment']","['Steven Pasquale', 'Reiko Aylesworth', 'John Ortiz', 'Ariel Gade', 'Sam Trammell', 'Kristen Hager', 'Robert Joy', 'David Paetkau', 'Tom Woodruff Jr.', 'Ian Whyte', 'Chelah Horsdal', 'Meshach Peters', 'Matt Ward', 'Gina Holden', 'Kurt Max Runte', 'Liam James', 'Ty Olsson', 'Johnny Lewis', 'Catherine Lough Haggquist', 'Rekha Sharma', 'Victoria Bidewell', 'Michal Suchánek', 'David Hornsby', 'Chris William Martin', 'James Chutter', 'Françoise Yip', 'Juan Riedinger', 'Tim Perez', 'Dalias Blake', 'Rainbow Francks', 'Tim Henry', 'Tom McBeath', 'Anthony Harrison', 'Lloyd Berry', 'Ryan Robbins', 'Curtis Caravaggio', 'Glen Brkich', 'Adrian Hough', 'Jay-Lyn Green', 'Lili Wexu']","['predator', 'alien possession', 'morgue', 'triangle', 'national guard', 'hybrid', 'alien', 'xenomorph', 'infestation']",['AVP Collection'],"A sequel to 2004's Alien vs. Predator, the iconic creatures from two of the scariest film franchises in movie history wage their most brutal battle ever - in our own backyard. The small town of Gunnison, Colorado becomes a war zone between two of the deadliest extra-terrestrial life forms - the Alien and the Predator. When a Predator scout ship crash-lands in the hills outside the town, Alien Facehuggers and a hybrid Alien/Predator are released and begin to terrorize the town.",The Last Place On Earth We Want To Be Is In The Middle,"['Greg Strause', 'Colin Strause']","['Shane Salerno', 'Ronald Shusett', ""Dan O'Bannon"", 'John Thomas', 'Jim Thomas']","['John Davis', 'David Giler', 'Walter Hill']",4.9,4.7,29,21.54060967,0
4384,56805,6575,3.285019455,Nominated for 2 Golden Globes. Another 1 win & 4 nominations.,Singer Dewey Cox overcomes adversity to become a musical legend.,R,2007,"60,143",74%,walk hard: the dewey cox story,20606053,12/21/2007,96,35000000,841046,"['Music', 'Comedy']","['Apatow Productions', 'Columbia Pictures Corporation', 'Columbia Pictures', 'Sony Pictures/Columbia']","['John C. Reilly', 'Jenna Fischer', 'Tim Meadows', 'Kristen Wiig', 'Raymond J. Barry', 'Harold Ramis', 'Margo Martindale', 'Chris Parnell', 'Matt Besser', 'David Krumholtz', 'Jack White', 'Eddie Vedder', 'Jewel', 'Jackson Browne', 'Ghostface Killah', 'Lyle Lovett', 'Jack Black', 'Justin Long', 'Paul Rudd', 'Jason Schwartzman', 'Chip Hormess', 'Cheryl Ladd', 'Morgan Fairchild', 'Cheryl Tiegs', 'Craig Robinson', 'Martin Starr', 'Jack McBrayer', 'Frankie Muniz', 'Ed Helms', 'Gerry Bednob', 'Jane Lynch', 'Simon Helberg', 'Jonah Hill', 'Molly C. Quinn', 'John Michael Higgins', 'Rance Howard', 'Odette Annable', 'Skyler Gisondo', 'Amber Hay', 'Nat Faxon', 'Conner Rayburn']","['music instrument', 'pop star', 'music record', 'aftercreditsstinger', 'rock', 'fab four', 'extramarital affair', 'record producer', 'blues', 'pop', 'rapper', 'rock and roll', 'wedding', 'music', 'hip-hop']",[],Singer Dewey Cox overcomes adversity to become a musical legend.,Life made him tough. Love made him strong. Music made him hard.,['Jake Kasdan'],"['Judd Apatow', 'Jake Kasdan']","['Judd Apatow', 'Clayton Townsend', 'Jake Kasdan']",6.562463343,6.8,63,8.077544333,0
