,movieId,tmdbId,rating,Awards,Plot,Rated,Year,imdbVotes,Rating_RT,Movie_Name,Movie_Revenue,Movie_Date,Movie_Length,Movie_Budget,Movie_imdb_id,Movie_Genres,Movie_Companies,Movie_Actors,Movie_Keywords,Movie_Collection,Movie_Overview,Movie_Tagline,Movie_Director,Movie_Writer,Movie_Producer,Movie_VoteAvg,Movie_Rating_IMDB,Movie_Rating_Metacritic,TMDB_popularity,Delete
3706,,,,,,,2009,,,shi yue wei cheng,44195779,12/31/2009,,23000000,,[],[],[],[],[],,,[],[],[],,,,,1
3707,,,,,,,2009,,,obitaemyy ostrov,15000000,12/31/2009,,36500000,,[],[],[],[],[],,,[],[],[],,,,,1
3708,,,,,,,2009,,,das weisse band: eine deutsche kindergeschichte,25727044,12/30/2009,,18000000,,[],[],[],[],[],,,[],[],[],,,,,1
3709,73860,33511,3.550218341,Nominated for 3 BAFTA Film Awards. Another 6 wins & 18 nominations.,"A chronicle of John Lennon's first years, focused mainly in his adolescence and his relationship with his stern aunt Mimi, who raised him, and his absentee mother Julia, who re-entered his life at a crucial moment in his young life.",R,2009,"31,104",79%,nowhere boy,6577779,12/25/2009,98,1600000,1266029,"['Music', 'Drama', 'Biography']","['Ecosse Films', 'Aver Media', 'North West Vision', 'Film4 Productions', 'Lipsync Productions', 'Film4', 'Weinstein Company', 'UK Film Council']","['Aaron Taylor-Johnson', 'Anne-Marie Duff', 'Kristin Scott Thomas', 'David Threlfall', 'David Morrissey', 'Thomas Brodie-Sangster', 'Josh Bolt', 'Ophelia Lovibond', 'Andrew Buchan', 'James Johnson', 'James Jack Bentham', 'Jack McElhone', 'Sam Bell', 'Colin Tierney', 'Dan Armour', 'Sam Wilmott', 'Frazer Bird', 'Daniel Ross', 'John Collins', 'Paul Ritter', 'Kerrie Hayes']","['teenager', 'hit by a car', 'new brighton england', 'aspiring musician', 'musician', '1950s', 'biography', 'musical', 'woman director', 'dark past']",[],The drama tells the story of Lennon's teenage years and the start of his journey to becoming a successful musician. The story also examines the impact on his early life and personality of the two dominant females in his childhood,As a boy all John Lennon needed was love.,['Sam Taylor-Johnson'],['Matt Greenhalgh'],"['Robert Bernstein', 'Kevin Loader']",7.241813899,7.2,67,4.727963333,0
3710,,,,,,,2009,,,it¬ís complicated,224614744,12/25/2009,,85000000,,[],[],[],[],[],,,[],[],[],,,,,1
3711,73017,10528,3.766111457,Nominated for 2 Oscars. Another 10 wins & 27 nominations.,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,PG-13,2009,"522,638",70%,sherlock holmes,524028679,12/23/2009,128,90000000,988045,"['Mystery', 'Crime', 'Adventure', 'Action']","['Warner Bros. Pictures/Village Roadshow', 'Silver Pictures', 'Village Roadshow Pictures', 'Wigram Productions', 'Warner Bros.', 'Warner Bros. Pictures', 'Internationale Filmproduktion Blackbird Dritte']","['Robert Downey Jr.', 'Jude Law', 'Rachel McAdams', 'Mark Strong', 'Eddie Marsan', 'Robert Maillet', 'Geraldine James', 'Kelly Reilly', 'William Houston', 'Hans Matheson', 'James Fox', 'William Hope', 'Clive Russell', 'Oran Gurel', 'David Garrick', 'Kylie Hutchinson', 'Andrew Brooke', 'John Kearney', 'Sebastian Abineri', 'Jonathan Gabriel Robbins', 'James A. Stephens', 'Terry Taplin', 'Bronagh Gallagher', 'Ed Tolputt', 'Joe Egan', 'Jefferson Hall', 'Miles Jupp', 'Marn Davies', 'Andrew Greenough', 'Ned Dennehy', 'Martin Ewens', 'Amanda Grace Johnson', 'James Greene', 'David Emmings', 'Chris Sunley', 'Michael Jenn', ""Timothy O'Hara"", 'Guy Williams', 'Peter Miles', 'Jonathan Bridge', 'Sam Creed', 'Radu Andrei Cucu', 'James Currie', 'Jason Daly', 'Paul J. Dove', 'Neil Findlater', 'Kas Graham', 'Thomas Kadman', 'Brendan McCoy', 'Matthew Radway', 'Robert Stone', 'John Warman', 'Ben Cartwright', 'William Atkinson', 'Tom Watt']","['partner', 'sherlock holmes', 'black magic', 'murder', 'detective', 'arrest', 'coffin', 'scotland yard', 'clue', 'pentagram', 'steampunk']",['Sherlock Holmes Collection'],"Eccentric consulting detective, Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.",Nothing escapes him.,['Guy Ritchie'],"['Simon Kinberg', 'Michael Robert Johnson', 'Lionel Wigram', 'Anthony Peckham', 'Arthur Conan Doyle']","['Peter Eskelsen', 'Susan Downey', 'Dan Lin', 'Steve Clark-Hall', 'Lionel Wigram', 'Joel Silver']",7.038231083,7.6,57,29.82032533,0
3712,73015,22897,3.261158594,Nominated for 3 Golden Globes. Another 8 wins & 12 nominations.,"When attending their son's college graduation, a couple reignite the spark in their relationship. But the complicated fact is they're divorced and he's remarried.",R,2009,"76,167",57%,it's complicated,224614744,12/23/2009,120.75,85000000,1230414,"['Drama', 'Comedy', 'Romance']","['Relativity Media', 'Dentsu', 'Scott Rudin Productions', 'Waverly Films', 'Universal Pictures']","['Meryl Streep', 'Alec Baldwin', 'Steve Martin', 'John Krasinski', 'Lake Bell', 'Mary Kay Place', 'Rita Wilson', 'Alexandra Wentworth', 'Hunter Parrish', 'Zoe Kazan', 'Caitlin Fitzgerald', 'Emjay Anthony', 'Nora Dunn', 'Bruce Altman', 'Robert Curtis Brown', 'James Patrick Stuart', 'Peter MacKenzie', 'Sean Hamrin', 'Emily Kinney', 'Valente Rodriguez', 'Marina Squerciati', 'Blanchard Ryan', 'Geneva Carr', 'Jennifer Restivo', 'Dana Power']","['graduation', 'ex husband', 'woman director']",[],"Ten years after their divorce, Jane and Jake Adler unite for their son's college graduation and unexpectedly end up sleeping together. But Jake is married, and Jane is embarking on a new romance with her architect. Now, she has to sort out her life ‚Äì just when she thought she had it all figured out.",First comes marriage. Then comes divorce. And then...,['Nancy Meyers'],['Nancy Meyers'],"['Nancy Meyers', 'Scott Rudin']",6.240698619,6.6,57,11.79513967,0
3713,73042,23398,2.119647355,3 wins.,"The world famous singing pre-teen chipmunk trio return to contend with the pressures of school, celebrity, and a rival female music group known as The Chipettes.",PG,2009,"35,878",20%,alvin and the chipmunks: the squeakquel,443483213,12/21/2009,88,73750000,123158,"['Family', 'Fantasy', 'Music', 'Comedy', 'Animation']","['Fox 2000 Pictures', 'Bagdasarian Productions', '20th Century Fox', 'Regency Enterprises']","['Zachary Levi', 'David Cross', 'Jason Lee', 'Justin Long', 'Matthew Gray Gubler', 'Jesse McCartney', 'Amy Poehler', 'Anna Faris', 'Christina Applegate', 'Wendie Malick', 'Anjelah N. Johnson', 'Kathryn Joosten', 'Kevin G. Schmidt', 'Chris Warren, Jr.', 'Bridgit Mendler', 'Alexandra Shipp', 'Brittany Anne Pirtle']","['chipmunk', 'duringcreditsstinger', 'aftercreditsstinger', 'woman director', 'based on tv series', 'cgi']",['Alvin and the Chipmunks Collection'],"Pop sensations Alvin, Simon and Theodore end up in the care of Dave Seville's twenty-something nephew Toby. The boys must put aside music super stardom to return to school, and are tasked with saving the school's music program by winning the $25,000 prize in a battle of the bands. But the Chipmunks unexpectedly meet their match in three singing chipmunks known as The Chipettes - Brittany, Eleanor and Jeanette. Romantic and musical sparks are ignited when the Chipmunks and Chipettes square off.",The Boys are back in town... and they have competition.,['Betty Thomas'],"['Glenn Berger', 'Ross Bagdasarian', 'Jon Vitti', 'Jonathan Aibel']","['Janice Karman', 'Ross Bagdasarian, Jr.']",5.370710941,4.5,41,17.72432333,0
3714,,,,,,,2009,,,niktÈ,1333891,12/18/2009,94,1200001,1455676,[],[],[],[],[],"A girl pretend to be a princess in order to have a better life, but insted is send to look for a flower that will help her people.",,[],[],[],,,,0.306762,1
3715,72919,24438,2.726123596,1 nomination.,"In New York City, an estranged couple who witness a murder are relocated to small town Wyoming as part of the Witness Protection Program.",PG-13,2009,"32,379",12%,did you hear about the morgans?,85280250,12/17/2009,103,58000000,1314228,"['Drama', 'Comedy', 'Romance']","['Relativity Media', 'Castle Rock Entertainment', 'Columbia Pictures', 'Sony Pictures/Columbia', 'Banter']","['Hugh Grant', 'Sarah Jessica Parker', 'Mary Steenburgen', 'Sam Elliott', 'Natalia Klimas', 'Kim Shaw', 'Vincenzo Amato', 'Jesse Liebman', 'Elisabeth Moss', 'Michael Kelly', 'Seth Gilliam', 'S·ndor TÈcsy', 'Kevin Brown', 'Steven Boyer', 'Sharon Wilkins', 'Christopher Atwood']","['comedy', 'witness protection', 'duringcreditsstinger']",[],"In New York City, an estranged couple who witness a murder are relocated to small-town Wyoming as part of a witness-protection program.",We're not in Manhattan anymore.,['Marc Lawrence'],['Marc Lawrence'],"['Melissa Wells', 'Liz Glotzer', 'Martin Shafer', 'Sara Woodhatch']",5.139324619,4.8,27,11.99231167,0
