,movieId,tmdbId,rating,Awards,Plot,Rated,Year,imdbVotes,Rating_RT,Movie_Name,Movie_Revenue,Movie_Date,Movie_Length,Movie_Budget,Movie_imdb_id,Movie_Genres,Movie_Companies,Movie_Actors,Movie_Keywords,Movie_Collection,Movie_Overview,Movie_Tagline,Movie_Director,Movie_Writer,Movie_Producer,Movie_VoteAvg,Movie_Rating_IMDB,Movie_Rating_Metacritic,TMDB_popularity,Delete
182,,,,,,,2017,,,the thousand miles,0,12/31/2017,,12000000,,[],[],[],[],[],,,[],[],[],,,,,1
183,143359,252983,2.14,,"Orphaned raccoon, Sly Cooper, discovers that he comes from a long line of highly-skilled, international thieves. Based on the 'Sly Cooper' video games.",,2017,,,sly cooper,0,12/31/2017,,,3498786,"['Adventure', 'Action', 'Comedy', 'Family', 'Animation']","['Cinema Management Group', 'Sony Computer Entertainment', 'Sony Pictures Animation', 'Rainmaker Entertainment', 'Rainmaker Studios', 'Blockade Entertainment']","['Chris Murphy', 'Ian James Corlett', 'Matt Olsen']",[],[],"Sly Cooper is a kinetic and comedic heist film that tells the story of Sly Cooper, an orphaned raccoon thief, along with his childhood friends and partners in crime, Bentley Turtle and Murray Hippo. In the film, Sly learns of his birth family's secret legacy; that he comes from a long line of talented and international thieves. Endowed with this knowledge, Sly and his friends are catapulted into a global adventure as they race to reassemble pieces of an ancient book holding The Cooper Clan's family secrets before it can fall into the hands of Clockwerk -- an evil Russian metallic owl bent on ending the Cooper family line. From romantic Parisian backdrops to the lush mountains of China, gritty film noir meets bright, colorful graphic novels in this origin story of the world's greatest thief-turned-hero.",,['Kevin Munroe'],['Kevin Munroe'],"['Brad Foxhoven', 'David Wohl']",,,,0.83,1
184,,,,7 nominations,"In the twilight of Imperial Russia, prima ballerina Matilda Kshesinskaya becomes the mistress of three Grand Dukes.",NOT RATED,2017,1335,,matilda,9434926,12/31/2017,130,15000000,,"['Biography', 'Drama', 'History']",['TPO Rok'],"['Michalina Olszanska', 'Lars Eidinger', 'Luise Wolfram']","['female nudity', 'topless female nudity', 'ballet', 'on stage', 'theater', 'bathtub']",[],,,['Aleksey Uchitel'],"['Michael Katims', 'Aleksandr Terekhov']",[],,5.3,,,0
185,,,,,,,2017,,,hevi reissu,0,12/31/2017,,3800000,,[],[],[],[],[],,,[],[],[],,,,,1
186,,,,,,,2017,34,,flesh of the void,0,12/31/2017,77,,6536904,['Horror'],[],[],[],[],"Flesh of the Void is an extreme experimental horror feature, visualizing what it could feel like if the act of dying was a truly horrible experience. Shot extensively on Super 8 and 16mm, it is intended as a disjointed, surreal trip through the deepest and most violent fears of the human condition, depicting its subject in a radical, grotesque and raw manner, refusing to shy away from societal taboos.","I Have Expired, Count Me Out",[],[],[],4.00,6.9,,0.19,1
188,135522,245842,2.10,,"King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature.",PG,2017,,,the king's daughter,0,12/30/2017,,40500000,2328678,"['Adventure', 'Action', 'Fantasy']","['Kylin Pictures', 'Good Universe', 'Paramount Pictures', 'Paramount']","['Pierce Brosnan', 'William Hurt', 'Benjamin Walker', 'Kaya Scodelario', 'Fan Bingbing', 'Ben Lloyd-Hughes', 'Paul Ireland', 'Pablo Schreiber', 'Crystal Clarke', 'Rachel Griffiths', 'Kaya Blocksage', 'Kasia Kaczmarek', 'Tom Morton', 'Tiffany Hofstetter', 'Jessica Clarke']","['mermaid', 'illegitimate child', 'quest', 'immortality', 'period drama']",[],"King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature.",What on Earth Can Hold More Power Than a King?,['Sean McNamara'],"['Laura Harrington', 'Vonda N. McIntyre', 'James Schamus', 'Ronald Bass', 'Barry Berman']",['Wei Han'],4.50,,,0.74,1
189,,,,18 wins & 21 nominations.,"The life and work of the renowned primatology scientist, Jane Goodall, especially on her research about chimpanzees.",PG,2017,"1,402",98%,jane,1723379,12/28/2017,90,,,"['Documentary', 'Biography']",[],['Jane Goodall'],[],[],,It Took a Woman to Unlock the Secret of Early Man,['Brett Morgen'],['Brett Morgen'],[],,7.8,87,,0
190,173203,341689,0.83,3 nominations.,An alien touring the galaxy breaks away from her group and meets two young inhabitants of the most dangerous place in the universe: the London suburb of Croydon.,R,2017,688,30%,how to talk to girls at parties,84809,12/27/2017,102,,385931,"['Music', 'Comedy', 'Science Fiction', 'Romance']","['Little Punk', 'See-Saw Films', 'HanWay Films', 'A24', 'Fortissimo Films']","['Elle Fanning', 'Nicole Kidman', 'Ruth Wilson', 'Matt Lucas', 'Mark Douglas', 'Elarica Gallacher', 'Joanna Scanlan', 'Alex Sharp', 'Ethan Lawrence', 'Nansi Nsue', 'Eloise Smyth', 'Ross Tomlinson', 'Hebe Beardsall', 'Lara Peake', 'David McCarrison', 'Alice Sanders', 'Mikko Makela']",[],[],"A couple of British 1970s teenaged boys, Enn and Vic, go to a party to meet girls, only to find that the girls are very different from the boys' expectations.",Some girls are out of this world.,['John Cameron Mitchell'],"['John Cameron Mitchell', 'Philippa Goslett', 'Neil Gaiman']","['Emile Sherman', 'Iain Canning', 'John Cameron Mitchell', 'Howard Gertler']",4.52,6.6,44,8.04,0
191,,,,1 win.,"On the eve of retirement a middle class, judgmental snob discovers her husband has been having an affair with her best friend and is forced into exile with her bohemian sister who lives on an impoverished inner-city council estate.",PG-13,2017,1900,70%,finding your feet,0,12/26/2017,111,,4538916,['Comedy'],"['Catalyst Global Media', 'Powderkeg Pictures', 'Eclipse Films']","['Celia Imrie', 'David Hayman', 'Imelda Staunton', 'Indra Ové', 'Jacqueline Ramnarine', 'Joanna Lumley', 'John Sessions', 'Josie Lawrence', 'Marianne Oldham', 'Phoebe Nicholls', 'Richard Hope', 'Sian Thomas', 'Timothy Spall', 'Victoria Wicks']","['singing in a car', 'sister sister relationship', 'rome italy', 'london england', 'dance class']",[],A lady has her prim and proper life turned upside down after discovering her husband's affair.,,['Richard Loncraine'],"['Meg Leonard', 'Nick Moorcroft']",[],7.40,6.6,53,5.80,1
192,,,,,,,2017,,,escape from mr. lemoncello's library,0,12/26/2017,69,,5878476,"['Family', 'Fantasy']",['Nickelodeon Network'],[],[],[],Can twelve 12-year-olds escape from the most ridiculously brilliant library ever created? Escape from Mr. Lemoncello's Library plunks a dozen sixth-graders into the middle of a futuristic library for a night of nonstop fun and adventure.,where the books come to life!,[],[],[],4.90,,,3.03,1
