Holiday,Year,Day,Type,Day of Week
New Year's Day,1995,1/2,Fixed,Monday
Memorial Day,1995,5/29,Floating,Monday
Independence Day,1995,7/4,Fixed,Tuesday
Labor Day,1995,9/4,Floating,Monday
Thanksgiving Day,1995,11/23,Floating,Thursday
Christmas Day,1995,12/25,Fixed,Monday
New Year's Day,1996,1/1,Fixed,Monday
Memorial Day,1996,5/27,Floating,Monday
Independence Day,1996,7/4,Fixed,Thursday
Labor Day,1996,9/2,Floating,Monday
Thanksgiving Day,1996,11/28,Floating,Thursday
Christmas Day,1996,12/25,Fixed,Wednesday
New Year's Day,1997,1/1,Fixed,Wednesday
Memorial Day,1997,5/26,Floating,Monday
Independence Day,1997,7/4,Fixed,Friday
Labor Day,1997,9/1,Floating,Monday
Thanksgiving Day,1997,11/27,Floating,Thursday
Christmas Day,1997,12/25,Fixed,Thursday
New Year's Day,1998,1/1,Fixed,Thursday
Memorial Day,1998,5/25,Floating,Monday
Independence Day,1998,7/3,Fixed,Friday
Labor Day,1998,9/7,Floating,Monday
Thanksgiving Day,1998,11/26,Floating,Thursday
Christmas Day,1998,12/25,Fixed,Friday
New Year's Day,1999,1/1,Fixed,Friday
Memorial Day,1999,5/31,Floating,Monday
Independence Day,1999,7/5,Fixed,Monday
Labor Day,1999,9/6,Floating,Monday
Thanksgiving Day,1999,11/25,Floating,Thursday
Christmas Day,1999,12/24,Fixed,Friday
New Year's Day,2000,12/31,Fixed,Friday
Memorial Day,2000,5/29,Floating,Monday
Independence Day,2000,7/4,Fixed,Tuesday
Labor Day,2000,9/4,Floating,Monday
Thanksgiving Day,2000,11/23,Floating,Thursday
Christmas Day,2000,12/25,Fixed,Monday
New Year's Day,2001,1/1,Fixed,Monday
Memorial Day,2001,5/28,Floating,Monday
Independence Day,2001,7/4,Fixed,Wednesday
Labor Day,2001,9/3,Floating,Monday
Thanksgiving Day,2001,11/22,Floating,Thursday
Christmas Day,2001,12/25,Fixed,Tuesday
New Year's Day,2002,1/1,Fixed,Tuesday
Memorial Day,2002,5/27,Floating,Monday
Independence Day,2002,7/4,Fixed,Thursday
Labor Day,2002,9/2,Floating,Monday
Thanksgiving Day,2002,11/28,Floating,Thursday
Christmas Day,2002,12/25,Fixed,Wednesday
New Year's Day,2003,1/1,Fixed,Wednesday
Memorial Day,2003,5/26,Floating,Monday
Independence Day,2003,7/4,Fixed,Friday
Labor Day,2003,9/1,Floating,Monday
Thanksgiving Day,2003,11/27,Floating,Thursday
Christmas Day,2003,12/25,Fixed,Thursday
New Year's Day,2004,1/1,Fixed,Thursday
Memorial Day,2004,5/31,Floating,Monday
Independence Day,2004,7/5,Fixed,Monday
Labor Day,2004,9/6,Floating,Monday
Thanksgiving Day,2004,11/25,Floating,Thursday
Christmas Day,2004,12/24,Fixed,Friday
New Year's Day,2005,12/31,Fixed,Friday
Memorial Day,2005,5/30,Floating,Monday
Independence Day,2005,7/4,Fixed,Monday
Labor Day,2005,9/5,Floating,Monday
Thanksgiving Day,2005,11/24,Floating,Thursday
Christmas Day,2005,12/26,Fixed,Monday
New Year's Day,2006,1/2,Fixed,Monday
Memorial Day,2006,5/29,Floating,Monday
Independence Day,2006,7/4,Fixed,Tuesday
Labor Day,2006,9/4,Floating,Monday
Thanksgiving Day,2006,11/23,Floating,Thursday
Christmas Day,2006,12/25,Fixed,Monday
New Year's Day,2007,1/1,Fixed,Monday
Memorial Day,2007,5/28,Floating,Monday
Independence Day,2007,7/4,Fixed,Wednesday
Labor Day,2007,9/3,Floating,Monday
Thanksgiving Day,2007,11/22,Floating,Thursday
Christmas Day,2007,12/25,Fixed,Tuesday
New Year's Day,2008,1/1,Fixed,Tuesday
Memorial Day,2008,5/26,Floating,Monday
Independence Day,2008,7/4,Fixed,Friday
Labor Day,2008,9/1,Floating,Monday
Thanksgiving Day,2008,11/27,Floating,Thursday
Christmas Day,2008,12/25,Fixed,Thursday
New Year's Day,2009,1/1,Fixed,Tuesday
Memorial Day,2009,5/25,Floating,Monday
Independence Day,2009,7/3,Fixed,Friday
Labor Day,2009,9/7,Floating,Monday
Thanksgiving Day,2009,11/26,Floating,Thursday
Christmas Day,2009,12/25,Fixed,Friday
New Year's Day,2010,1/1,Fixed,Friday
Memorial Day,2010,5/31,Floating,Monday
Independence Day,2010,7/5,Fixed,Monday
Labor Day,2010,9/6,Floating,Monday
Thanksgiving Day,2010,11/25,Floating,Thursday
Christmas Day,2010,12/24,Fixed,Thursday
New Year's Day,2011,12/31,Fixed,Thursday
Memorial Day,2011,5/30,Floating,Monday
Independence Day,2011,7/4,Fixed,Monday
Labor Day,2011,9/5,Floating,Monday
Thanksgiving Day,2011,11/24,Floating,Thursday
Christmas Day,2011,12/26,Fixed,Monday
New Year's Day,2012,1/2,Fixed,Monday
Memorial Day,2012,5/28,Floating,Monday
Independence Day,2012,7/4,Fixed,Wednesday
Labor Day,2012,9/3,Floating,Monday
Thanksgiving Day,2012,11/22,Floating,Thursday
Christmas Day,2012,12/25,Fixed,Tuesday
