Holiday,Year,Day,Type,Day of Week
New Year's Day,2013,1/1,Fixed,Tuesday
Memorial Day,2013,5/27,Floating,Monday
Independence Day,2013,7/4,Fixed,Thursday
Labor Day,2013,9/2,Floating,Monday
Thanksgiving Day,2013,11/28,Floating,Thursday
Christmas Day,2013,12/25,Fixed,Wednesday
New Year's Day,2014,1/1,Fixed,Wednesday
Memorial Day,2014,5/26,Floating,Monday
Independence Day,2014,7/4,Fixed,Friday
Labor Day,2014,9/1,Floating,Monday
Thanksgiving Day,2014,11/27,Floating,Thursday
Christmas Day,2014,12/25,Fixed,Thursday
New Year's Day,2015,1/1,Fixed,Thursday
Memorial Day,2015,5/25,Floating,Monday
Independence Day,2015,7/3,Fixed,Friday
Labor Day,2015,9/7,Floating,Monday
Thanksgiving Day,2015,11/26,Floating,Thursday
Christmas Day,2015,12/25,Fixed,Friday
New Year's Day,2016,1/1,Fixed,Friday
Memorial Day,2016,5/30,Floating,Monday
Independence Day,2016,7/4,Fixed,Monday
Labor Day,2016,9/5,Floating,Monday
Thanksgiving Day,2016,11/24,Floating,Thursday
Christmas Day,2016,12/26,Fixed,Monday
New Year's Day,2017,1/2,Fixed,Monday
Memorial Day,2017,5/29,Floating,Monday
Independence Day,2017,7/4,Fixed,Tuesday
Labor Day,2017,9/4,Floating,Monday
Thanksgiving Day,2017,11/23,Floating,Thursday
Christmas Day,2017,12/25,Fixed,Monday
New Year's Day,2018,1/1,Fixed,Monday
Memorial Day,2018,5/28,Floating,Monday
Independence Day,2018,7/4,Fixed,Wednesday
Labor Day,2018,9/3,Floating,Monday
Thanksgiving Day,2018,11/22,Floating,Thursday
Christmas Day,2018,12/25,Fixed,Tuesday
